# Elastic and proton-dissociative photoproduction of J/psi mesons at HERA
#  [arXiv:1304.5162]
# and
# Elastic J/Psi Production at HERA
#  [hep-ex/0510016]
#
# In this document, the cross sections as a function of W are given
#  together with a decomposition of the error matrix.
#
# The table has 40 rows, corresponding to 40 cross section
#  measurements. Each row has 28 columns, as explained in the following
# Rows 1-22 correspond to table 4 of [arXiv:1304.5162]
# Rows 23-40 correspond to table 3 of [hep-ex/0510016]
#
# Version 1, date: 20.6.2013
#
# Column 1-8: cross section measurement
# column    comment
# =====================
#  1 (n)    row number
#  2 (pd)   pd=0 if the reaction is elastic, pd=1 if proton dissociative
#  3 (wmin) lower bound on photon-proton centre-of-mass energy [GeV]
#  4 (wmax) upper bound on photon-proton centre-of-mass energy [GeV]
#  5 (wavg) average photon-proton centre-of-mass energy [GeV]
#  6 (PhiT) transverse polarized photon flux
#  7 (sigm) measured cross section [nanobarn]
#  8 (dsig) total uncertainty on the measured cross section [nanobarn]
#
# Column 9-27: error sources
# column    comment
# ===================
#  9 (dunc) uncorrelated uncertainty [nanobarn]
# 10 (dc1)  1st correlated uncertainty from data combination [nanobarn]
# 11 (dc2)  2nd correlated uncertainty from data combination [nanobarn]
# 12 (dc3)  3rd correlated uncertainty from data combination [nanobarn]
#  ...
# 17 (dc8)  8th correlated uncertainty from data combination [nanobarn]
# 18 (dc9)  9th correlated uncertainty from data combination [nanobarn]
# 19 (rnor) normalisation uncertainty from trigger, track and psi(2S) [percent]
# 20 (rlhe) luminosity uncertainty, HE data set [percent]
# 21 (rlle) luminosity uncertainty, LE data set [percent]
# 22 (rlar) LAr tagging uncertainty [percent]
# 23 (rplu) PLUG tagging uncertainty [percent]
# 24 (rfts) FTS tagging uncertainty [percent]
# 25 (rmod) model uncertainty [percent]
# 26 (rq2)  Q^2 dependence uncertainty [percent]
# 27 (rec)  empty calorimeter cut uncertainty [percent]
# 28 (rher1) correlated error HERA-I [percent]
#
# Note 1: the uncertainties from col=8 to col=18 are absolute uncertainties
#  measured in nanobarn, whereas the uncertainties from col=19 to col=28
#  are given in percent, relative to col=7.
#
# Note 2: when adding all uncertainty sources corresponding col=9 up to
#  col=28 quadratically, the result is equal to the total uncertainty
#  given in col=8 (sanity check).
#
# Note 3: the uncertainties given in col=10 up to col=28 are correlated
#  across the rows of the table, i.e. they contribute to the
#  off-diagonals of the covariance matrix. In contrast, the
#  uncertainties given in col=9 are uncorrelated, so they contribute only
#  to the diagonals of the covariance matrix.
#
#n pd wmin  wmax  wavg PhiT   sigm dsig dunc  dc1  dc2  dc3  dc4  dc5  dc6  dc7  dc8  dc9 rnor rlhe rlle rlar rplu rfts rmod  rq2   rec rher1
#===========================================================================================================================================
 1 0  40.0  46.5  43.2 0.0158 50.7  4.9  1.5  1.2  0.2  0.7  0.1  0.0  0.0  0.0  0.0  0.0  3.2  2.7  0.0 -2.6  0.6 -0.1 -7.1 -0.1  1.4  0.0
 2 0  46.5  53.5  50.0 0.0144 59.5  5.8  1.4  1.4  0.0  0.6  0.6 -0.4  0.0  0.0  0.0  0.0  3.2  2.7  0.0 -2.6  0.6 -0.1 -7.3 -0.1  1.4  0.0
 3 0  53.5  61.2  57.3 0.0131 61.8  6.2  1.9  1.7 -0.6 -0.1  0.6 -0.3  0.0  0.0  0.0  0.0  3.2  2.7  0.0 -2.6  0.6 -0.1 -7.4 -0.1  1.4  0.0
 4 0  61.2  69.4  65.3 0.0120 67.6  6.2  1.7  1.6 -0.5 -0.2  0.2  0.5  0.0  0.0  0.0  0.0  3.2  2.7  0.0 -2.6  0.6 -0.1 -6.6 -0.1  1.4  0.0
 5 0  69.4  78.4  73.9 0.0112 72.4  6.5  1.9  1.7 -0.1  0.4 -0.4  0.1  0.0  0.0  0.0  0.0  3.2  2.7  0.0 -2.6  0.6 -0.1 -6.3 -0.1  1.4  0.0
 6 0  78.4  88.0  83.2 0.0103 79.9  7.0  2.3  1.8 -0.3  0.4 -0.4 -0.2  0.0  0.0  0.0  0.0  3.2  2.7  0.0 -2.6  0.6 -0.1 -6.0 -0.1  1.4  0.0
 7 0  88.0  98.5  93.3 0.0096 84.4  7.0  2.1  1.9 -0.2  0.5  0.2  0.6  0.0  0.0  0.0  0.0  3.2  2.7  0.0 -2.6  0.6 -0.1 -5.5 -0.1  1.4  0.0
 8 0  98.5 110.0 104.3 0.0089 86.7  7.4  2.7  2.3 -0.8 -0.4 -0.4 -0.5  0.0  0.0  0.0  0.0  3.2  2.7  0.0 -2.6  0.6 -0.1 -5.2 -0.1  1.4  0.0
 9 1  40.0  46.5  43.2 0.0158 46.0  6.0  2.0  1.0  0.0 -0.5 -0.1  0.1  0.0  0.0  0.0  0.0  3.2  2.7  0.0  9.4 -2.2  0.5 -3.9  0.1 -4.3  0.0
10 1  46.5  53.5  50.0 0.0144 52.1  6.5  1.8  1.1  0.1 -0.6 -0.5  0.4  0.0  0.0  0.0  0.0  3.2  2.7  0.0  9.4 -2.2  0.5  2.5  0.1 -4.3  0.0
11 1  53.5  61.2  57.3 0.0131 58.7  7.4  1.7  1.2  0.6  0.1 -0.7  0.3  0.0  0.0  0.0  0.0  3.2  2.7  0.0  9.4 -2.2  0.5  3.5  0.1 -4.3  0.0
