i	num	row	col	gain	csp	fee	chip	chan
0	0	3	2	0	11	5	0	0
1	1	3	2	1	11	5	0	1
2	2	3	3	0	27	5	0	2
3	3	3	3	1	27	5	0	3
4	4	2	2	0	10	5	0	4
5	5	2	2	1	10	5	0	5
6	6	2	3	0	26	5	0	6
7	7	2	3	1	26	5	0	7
8	8	0	3	1	24	5	0	8
9	9	0	3	0	24	5	0	9
10	10	0	2	1	8	5	0	10
11	11	0	2	0	8	5	0	11
12	12	1	3	1	25	5	0	12
13	13	1	3	0	25	5	0	13
14	14	1	2	1	9	5	0	14
15	15	1	2	0	9	5	0	15
16	16	4	0	0	3	5	2	0
17	17	4	0	1	3	5	2	1
18	18	4	1	0	19	5	2	2
19	19	4	1	1	19	5	2	3
20	20	5	0	0	2	5	2	4
21	21	5	0	1	2	5	2	5
22	22	5	1	0	18	5	2	6
23	23	5	1	1	18	5	2	7
24	24	7	1	1	16	5	2	8
25	25	7	1	0	16	5	2	9
26	26	7	0	1	0	5	2	10
27	27	7	0	0	0	5	2	11
28	28	6	1	1	17	5	2	12
29	29	6	1	0	17	5	2	13
30	30	6	0	1	1	5	2	14
31	31	6	0	0	1	5	2	15
32	32	3	0	0	4	5	3	0
33	33	3	0	1	4	5	3	1
34	34	3	1	0	20	5	3	2
35	35	3	1	1	20	5	3	3
36	36	2	0	0	5	5	3	4
37	37	2	0	1	5	5	3	5
38	38	2	1	0	21	5	3	6
39	39	2	1	1	21	5	3	7
40	40	0	1	1	23	5	3	8
41	41	0	1	0	23	5	3	9
42	42	0	0	1	7	5	3	10
43	43	0	0	0	7	5	3	11
44	44	1	1	1	22	5	3	12
45	45	1	1	0	22	5	3	13
46	46	1	0	1	6	5	3	14
47	47	1	0	0	6	5	3	15
48	48	4	2	0	12	5	4	0
49	49	4	2	1	12	5	4	1
50	50	4	3	0	28	5	4	2
51	51	4	3	1	28	5	4	3
52	52	5	2	0	13	5	4	4
53	53	5	2	1	13	5	4	5
54	54	5	3	0	29	5	4	6
55	55	5	3	1	29	5	4	7
56	56	7	3	1	31	5	4	8
57	57	7	3	0	31	5	4	9
58	58	7	2	1	15	5	4	10
59	59	7	2	0	15	5	4	11
60	60	6	3	1	30	5	4	12
61	61	6	3	0	30	5	4	13
62	62	6	2	1	14	5	4	14
63	63	6	2	0	14	5	4	15
64	64	3	6	0	11	6	0	0
65	65	3	6	1	11	6	0	1
66	66	3	7	0	27	6	0	2
67	67	3	7	1	27	6	0	3
68	68	2	6	0	10	6	0	4
69	69	2	6	1	10	6	0	5
70	70	2	7	0	26	6	0	6
71	71	2	7	1	26	6	0	7
72	72	0	7	1	24	6	0	8
73	73	0	7	0	24	6	0	9
74	74	0	6	1	8	6	0	10
75	75	0	6	0	8	6	0	11
76	76	1	7	1	25	6	0	12
77	77	1	7	0	25	6	0	13
78	78	1	6	1	9	6	0	14
79	79	1	6	0	9	6	0	15
80	80	4	4	0	3	6	2	0
81	81	4	4	1	3	6	2	1
82	82	4	5	0	19	6	2	2
83	83	4	5	1	19	6	2	3
84	84	5	4	0	2	6	2	4
85	85	5	4	1	2	6	2	5
86	86	5	5	0	18	6	2	6
87	87	5	5	1	18	6	2	7
88	88	7	5	1	16	6	2	8
89	89	7	5	0	16	6	2	9
90	90	7	4	1	0	6	2	10
91	91	7	4	0	0	6	2	11
92	92	6	5	1	17	6	2	12
93	93	6	5	0	17	6	2	13
94	94	6	4	1	1	6	2	14
95	95	6	4	0	1	6	2	15
96	96	3	4	0	4	6	3	0
97	97	3	4	1	4	6	3	1
98	98	3	5	0	20	6	3	2
99	99	3	5	1	20	6	3	3
100	100	2	4	0	5	6	3	4
101	101	2	4	1	5	6	3	5
102	102	2	5	0	21	6	3	6
103	103	2	5	1	21	6	3	7
104	104	0	5	1	23	6	3	8
105	105	0	5	0	23	6	3	9
106	106	0	4	1	7	6	3	10
107	107	0	4	0	7	6	3	11
108	108	1	5	1	22	6	3	12
109	109	1	5	0	22	6	3	13
110	110	1	4	1	6	6	3	14
111	111	1	4	0	6	6	3	15
112	112	4	6	0	12	6	4	0
113	113	4	6	1	12	6	4	1
114	114	4	7	0	28	6	4	2
115	115	4	7	1	28	6	4	3
116	116	5	6	0	13	6	4	4
117	117	5	6	1	13	6	4	5
118	118	5	7	0	29	6	4	6
119	119	5	7	1	29	6	4	7
120	120	7	7	1	31	6	4	8
121	121	7	7	0	31	6	4	9
122	122	7	6	1	15	6	4	10
123	123	7	6	0	15	6	4	11
124	124	6	7	1	30	6	4	12
125	125	6	7	0	30	6	4	13
126	126	6	6	1	14	6	4	14
127	127	6	6	0	14	6	4	15
