#DE	BusPatch
# Chamber 7
700	650 - 653
701	654 - 658
702	659 - 662
703	663 - 666
704	667 - 670
705	671 - 672
706	673 - 674
707	700 - 701
708	702 - 703
709	704 - 707
710	708 - 711
711	712 - 715
712	716 - 720
713	721 - 724
714	725 - 729
715	730 - 733
716	734 - 737
717	738 - 741
718	742 - 743
719	744 - 745
720	675 - 676
721	677 - 678
722	679 - 682
723	683 - 686
724	687 - 690
725	691 - 695
# Chamber 8
800	750 - 753
801	754 - 758
802	759 - 762
803	763 - 766
804	767 - 770
805	771 - 772
806	773 - 774
807	800 - 801
808	802 - 803
809	804 - 807
810	808 - 811
811	812 - 815
812	816 - 820
813	821 - 824
814	825 - 829
815	830 - 833
816	834 - 837
817	838 - 841
818	842 - 843
819	844 - 845
820	775 - 776
821	777 - 778
822	779 - 782
823	783 - 786
824	787 - 790
825	791 - 795
# Chamber 9
900	850 - 853
901	854 - 858
902	859 - 862
903	863 - 866
904	867 - 870
905	871 - 874
906	875 - 876
907	900 - 901
908	902 - 905
909	906 - 909
910	910 - 913
911	914 - 917
912	918 - 922
913	923 - 926
914	927 - 931
915	932 - 935
916	936 - 939
917	940 - 943
918	944 - 947
919	948 - 949
920	877 - 878
921	879 - 882
922	883 - 886
923	887 - 890
924	891 - 894
925	895 - 899
# Chamber 10
1000	950 - 953
1001	954 - 958
1002	959 - 962
1003	963 - 966
1004	967 - 970
1005	971 - 974
1006	975 - 976
1007	1000 - 1001
1008	1002 - 1005
1009	1006 - 1009
1010	1010 - 1013
1011	1014 - 1017
1012	1018 - 1022
1013	1023 - 1026
1014	1027 - 1031
1015	1032 - 1035
1016	1036 - 1039
1017	1040 - 1043
1018	1044 - 1047
1019	1048 - 1049
1020	977 - 978
1021	979 - 982
1022	983 - 986
1023	987 - 990
1024	991 - 994
1025	995 - 999
