# CRT Name   BPName   Trans.Name   BP Length (m)
# DDL 0
CR01-1-1    someName   100-T0    3
CR01-1-2    someName   100-T1    3
CR01-1-3    someName   100-T2    3
CR01-1-4    someName   100-T3    3
CR01-1-5    someName   100-T4    3
CR01-1-6    someName   100-T5    3
CR01-1-7    someName   100-T6    3
CR01-1-8    someName   100-T7    3
CR01-1-9    someName   100-T8    3
CR01-1-10   someName   100-T9    3
CR01-2-11   someName   100-T10   3
CR01-2-12   someName   100-T11   3
CR01-2-13   someName   100-T0    3
CR01-2-14   someName   100-T1    3
CR01-2-15   someName   100-T2    3
CR01-2-16   someName   100-T3    3
CR01-2-17   someName   100-T4    3
CR01-2-18   someName   100-T5    3
CR01-2-19   someName   100-T6    3
CR01-2-20   someName   100-T7    3
CR01-3-21   someName   100-T8    3
CR01-3-22   someName   100-T9    3
CR01-3-23   someName   100-T10   3
CR01-3-24   someName   100-T11   3
CR01-3-25   someName   103-T0    4.5
CR01-3-26   someName   103-T1    4.5
CR01-3-27   someName   103-T2    4.5
CR01-3-28   someName   103-T3    4.5
CR01-3-29   someName   103-T4    4.5
CR01-3-30   someName   103-T5    4.5
CR01-4-31   someName   103-T6    4.5
CR01-4-32   someName   103-T7    4.5
CR01-4-33   someName   103-T8    4.5
CR01-4-34   someName   103-T9    4.5
CR01-4-35   someName   103-T10   4.5
CR01-4-36   someName   103-T11   4.5
CR01-4-37   someName   103-T0    4.5
CR01-4-38   someName   103-T1    4.5
CR01-4-39   someName   103-T2    4.5
CR01-4-40   someName   103-T3    4.5
CR01-5-41   someName   103-T4    4.5
CR01-5-42   someName   103-T5    4.5
CR01-5-43   someName   103-T6    4.5
CR01-5-44   someName   103-T7    4.5
CR01-5-45   someName   103-T8    4.5
CR01-5-46   someName   103-T9    4.5
CR01-5-47   someName   103-T10   4.5
CR01-5-48   someName   103-T11   4.5
# DDL 1
CR02-1-1    someName   101-T0    3
CR02-1-2    someName   101-T1    3
CR02-1-3    someName   101-T2    3
CR02-1-4    someName   101-T3    3
CR02-1-5    someName   101-T4    3
CR02-1-6    someName   101-T5    3
CR02-1-7    someName   101-T6    3
CR02-1-8    someName   101-T7    3
CR02-1-9    someName   101-T8    3
CR02-1-10   someName   101-T9    3
CR02-2-11   someName   101-T10   3
CR02-2-12   someName   101-T11   3
CR02-2-13   someName   101-T0    3
CR02-2-14   someName   101-T1    3
CR02-2-15   someName   101-T2    3
CR02-2-16   someName   101-T3    3
CR02-2-17   someName   101-T4    3
CR02-2-18   someName   101-T5    3
CR02-2-19   someName   101-T6    3
CR02-2-20   someName   101-T7    3
CR02-3-21   someName   101-T8    3
CR02-3-22   someName   101-T9    3
CR02-3-23   someName   101-T10   3
CR02-3-24   someName   101-T11   3
CR02-3-25   someName   102-T0    4.5
CR02-3-26   someName   102-T1    4.5
CR02-3-27   someName   102-T2    4.5
CR02-3-28   someName   102-T3    4.5
CR02-3-29   someName   102-T4    4.5
