#DE BusPatch DDL 
# Chamber 1
100 50-73 0
101 100-123 1
102 124-147 1
103 74-97 0
# Chamber 2
200 150-173 2
201 200-223 3
202 224-247 3
203 174-197 2
# Chamber 3
300 250-273 4
301 300-323 5
302 324-347 5
303 274-297 4
# Chamber 4
400 350-373 6
401 400-423 7
402 424-447 7
403 374-397 6
# Chamber 5
500 450-453 8
501 454-458 8
502 459-462 8
503 463-464 8
504 465-466 8
505 500-501 9
506 502-503 9
507 504-507 9
508 508-512 9
509 550-553 10
510 554-558 10
511 559-562 10
512 563-564 10
513 565-566 10
514 600-601 11
515 602-603 11
516 604-607 11
517 608-612 11
# Chamber 6
600 467-470 8
601 471-475 8
602 476-479 8
603 480-481 8
604 482-483 8
605 513-514 9
606 515-516 9
607 517-520 9
608 521-525 9
609 567-570 10
610 571-575 10
611 576-579 10
612 580-581 10
613 582-583 10
614 613-614 11
615 615-616 11
616 617-620 11
617 621-625 11
# Chamber 7
700 650-653 12
701 654-658 12
702 659-662 12
703 663-666 12
704 667-670 12
705 671-672 12
706 673-674 12
707 700-701 13
708 702-703 13
709 704-707 13
710 708-711 13
711 712-715 13
712 716-720 13
713 721-724 13
714 725-729 13
715 730-733 13
716 734-737 13
717 738-741 13
718 742-743 13
719 744-745 13
720 675-676 12
721 677-678 12
722 679-682 12
723 683-686 12
724 687-690 12
725 691-695 12
# Chamber 8
800 750-753 14
801 754-758 14
802 759-762 14
803 763-766 14
804 767-770 14
805 771-772 14
806 773-774 14
807 800-801 15
808 802-803 15
809 804-807 15
810 808-811 15
811 812-815 15
812 816-820 15
813 821-824 15
814 825-829 15
815 830-833 15
816 834-837 15
817 838-841 15
818 842-843 15
819 844-845 15
820 775-776 14
821 777-778 14
822 779-782 14
823 783-786 14
824 787-790 14
825 791-795 14
# Chamber 9
900 850-853 16
901 854-858 16
902 859-862 16
903 863-866 16
904 867-870 16
905 871-874 16
906 875-876 16
907 900-901 17
908 902-905 17
909 906-909 17
910 910-913 17
911 914-917 17
912 918-922 17
913 923-926 17
914 927-931 17
915 932-935 17
916 936-939 17
917 940-943 17
918 944-947 17
919 948-949 17
920 877-878 16
921 879-882 16
922 883-886 16
923 887-890 16
924 891-894 16
925 895-899 16
# Chamber 10
1000 950-953 18
1001 954-958 18
1002 959-962 18
1003 963-966 18
1004 967-970 18
1005 971-974 18
1006 975-976 18
1007 1000-1001 19
1008 1002-1005 19
1009 1006-1009 19
1010 1010-1013 19
1011 1014-1017 19
1012 1018-1022 19
1013 1023-1026 19
1014 1027-1031 19
1015 1032-1035 19
1016 1036-1039 19
1017 1040-1043 19
1018 1044-1047 19
1019 1048-1049 19
1020 977-978 18
1021 979-982 18
1022 983-986 18
1023 987-990 18
1024 991-994 18
1025 995-999 18
