#Motif  B1001			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1	GND	GND
41	1	GND	GND
2	2	4	E31
42	3	7	E29
3	4	12	E27
43	5	8	E25
4	6	10	E2
44	7	11	E23
5	8	3	E4
45	9	6	E21
6	10	15	E6
46	11	14	E19
7	12	2	E8
47	13	16	E17
8	14	9	E10
48	15	5	E15
9	16	13	E12
49	17	1	E13
10	18	 A	E14
50	19	20	E11
11	20	18	E16
51	21	17	E9
12	22	24	E18
52	23	19	E7
13	24	 B	E20
53	25	28	E5
14	26	23	E22
54	27	22	E3
15	28	32	E24
55	29	21	E1
16	30	 C	E26
56	31	 D	E63
17	32	25	E28
57	33	26	E61
21	34	27	E30
61	35	 E	E59
22	36	 J	E32
62	37	36	E57
23	38	30	E34
63	39	29	E55
24	40	40	E36
64	41	31	E53
25	42	 K	E38
65	43	 L	E40
26	44	 P	E42
66	45	 F	E44
27	46	34	E51
67	47	33	E46
28	48	 R	E49
68	49	44	E48
29	50	35	E47
69	51	 G	E50
30	52	 H	E45
70	53	 M	E52
31	54	37	E43
71	55	48	E54
32	56	39	E41
72	57	38	E56
33	58	47	E39
73	59	41	E58
34	60	 N	E37
74	61	43	E60
35	62	42	E35
75	63	 I	E62
36	64	46	E33
76	65	45	E64
37	66	GND	GND
77	66	GND	GND
18	-		GND
19	-		GND
20	-		GND
38	-		GND
39	-		GND
40	-		GND
58	-		GND
59	-		GND
60	-		GND
78	-		GND
79	-		GND
80	-		GND
