#Motif  B1002			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1	GND	GND
41	1	GND	GND
2	2	3	E31
42	3	2	E29
3	4	4	E27
43	5	1	E25
4	6	 A	E2
44	7	8	E23
5	8	7	E4
45	9	6	E21
6	10	12	E6
46	11	5	E19
7	12	 B	E8
47	13	11	E17
8	14	10	E10
48	15	9	E15
9	16	16	E12
49	17	15	E13
10	18	 C	E14
50	19	14	E11
11	20	13	E16
51	21	19	E9
12	22	20	E18
52	23	 D	E7
13	24	18	E20
53	25	24	E5
14	26	17	E22
54	27	23	E3
15	28	28	E24
55	29	 E	E1
16	30	22	E26
56	31	21	E63
17	32	27	E28
57	33	 F	E61
21	34	26	E30
61	35	25	E59
22	36	31	E32
62	37	 G	E57
23	38	30	E34
63	39	29	E55
24	40	32	E36
64	41	 H	E53
25	42	35	E38
65	43	36	E40
26	44	34	E42
66	45	33	E44
27	46	40	E51
67	47	39	E46
28	48	38	E49
68	49	44	E48
29	50	37	E47
69	51	43	E50
30	52	48	E45
70	53	42	E52
31	54	41	E43
71	55	52	E54
32	56	47	E41
72	57	46	E56
33	58	51	E39
73	59	45	E58
34	60	50	E37
74	61	56	E60
35	62	59	E35
75	63	55	E62
36	64	60	E33
76	65	64	E64
37	66	GND	GND
77	66	GND	GND
18	-		GND
19	-		GND
20	-		GND
38	-		GND
39	-		GND
40	-		GND
58	-		GND
59	-		GND
60	-		GND
78	-		GND
79	-		GND
80	-		GND
