#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	58	E31
3	3	63	E29
4	4	47       E27
5	5	54       E25
42	6	51 	E2
6	7	61      E23
43	8	55	E4
7	9	57  	E21
44	10	62	E6
8	11	56 	E19
45	12	59	E8
9	13	53	E17
46	14	64	E10
10	15	46	E15
47	16	60 	E12
11	17	48	E13
48	18	50	E14
12	19	44	E11
49	20	43	E16
13	21	45	E9
50	22	52      E18
14	23	38	E7
51	24	39	E20
15	25	41	E5
52	26	49	E22
16	27	37	E3
53	28	42	E24
17	29	31	E1
54	30	35	E26
21	31	33	E63
55	32	40	E28
22	33	29	E61
56	34	34	E30
23	35	28	E59
57	36	36	E32
24	37	23	E57
61	38	32	E34
25	39	20	E55
62	40	30	E36
26	41	21	E53
63	42	27	E38
64	43	26	E40
65	44	25	E42
66	45	24	E44
27	46	19	E51
67	47	22	E46
28	48	16	E49
68	49	18	E48
29	50	15	E47
69	51	17	E50
30	52	14	E45
70	53	4 	E52
31	54	12	E43
71	55	13	E54
32	56	11	E41
72	57	9 	E56
33	58	10	E39
73	59	5 	E58
34	60	1 	E37
74	61	8 	E60
35	62	7 	E35
75	63	6 	E62
36	64	3 	E33
76	65	2 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
