#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	62	E31
3	3	63	E29
4	4	60       E27
5	5	58       E25
42	6	64 	E2
6	7	57      E23
43	8	59	E4
7	9	54  	E21
44	10	61	E6
8	11	47 	E19
45	12	55	E8
9	13	50	E17
46	14	51	E10
10	15	49	E15
47	16	56 	E12
11	17	46	E13
48	18	53	E14
12	19	39	E11
49	20	52	E16
13	21	42	E9
50	22	48      E18
14	23	41	E7
51	24	43	E20
15	25	33	E5
52	26	45	E22
16	27	34	E3
53	28	44	E24
17	29	35	E1
54	30	38	E26
21	31	32	E63
55	32	40	E28
22	33	25	E61
56	34	37	E30
23	35	27	E59
57	36	36	E32
24	37	26	E57
61	38	31	E34
25	39	24	E55
62	40	30	E36
26	41	17	E53
63	42	29	E38
64	43	21	E40
65	44	22	E42
66	45	28	E44
27	46	23	E51
67	47	18	E46
28	48	20	E49
68	49	13	E48
29	50	19	E47
69	51	14	E50
30	52	9 	E45
70	53	16	E52
31	54	12	E43
71	55	10	E54
32	56	15	E41
72	57	5 	E56
33	58	11	E39
73	59	6 	E58
34	60	1 	E37
74	61	8 	E60
35	62	4 	E35
75	63	3 	E62
36	64	7 	E33
76	65	2 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
