#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	63	E31
3	3	64	E29
4	4	56       E27
5	5	59       E25
42	6	62 	E2
6	7	41      E23
43	8	60	E4
7	9	52  	E21
44	10	61	E6
8	11	50 	E19
45	12	58	E8
9	13	45	E17
46	14	57	E10
10	15	47	E15
47	16	54 	E12
11	17	44	E13
48	18	43	E14
12	19	42	E11
49	20	39	E16
13	21	51	E9
50	22	48      E18
14	23	53	E7
51	24	46	E20
15	25	36	E5
52	26	49	E22
16	27	33	E3
53	28	37	E24
17	29	34	E1
54	30	40	E26
21	31	9 	E63
55	32	38	E28
22	33	29	E61
56	34	35	E30
23	35	28	E59
57	36	55	E32
24	37	26	E57
61	38	32	E34
25	39	27	E55
62	40	31	E36
26	41	15	E53
63	42	30	E38
64	43	11	E40
65	44	13	E42
66	45	24	E44
27	46	20	E51
67	47	22	E46
28	48	18	E49
68	49	17	E48
29	50	25	E47
69	51	19	E50
30	52	21	E45
70	53	16	E52
31	54	12	E43
71	55	14	E54
32	56	7 	E41
72	57	23	E56
33	58	8 	E39
73	59	5 	E58
34	60	3 	E37
74	61	10	E60
35	62	6 	E35
75	63	2 	E62
36	64	4 	E33
76	65	1 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
