#          Motif  N4010			
#			
# 			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	46	E31
3	3	47	E29
4	4	49       E27
5	5	43       E25
42	6	44 	E2
6	7	38      E23
43	8	41	E4
7	9	35  	E21
44	10	  	E6
8	11	   	E19
45	12	48	E8
9	13	37	E17
46	14	45	E10
10	15	  	E15
47	16	   	E12
11	17	36	E13
48	18	40	E14
12	19	29	E11
49	20	42	E16
13	21	  	E9
50	22	39      E18
14	23	31	E7
51	24	32	E20
15	25	26	E5
52	26	34	E22
16	27	25	E3
53	28	  	E24
17	29	27	E1
54	30	33	E26
21	31	  	E63
55	32	30	E28
22	33	19	E61
56	34	28	E30
23	35	21	E59
57	36	  	E32
24	37	  	E57
61	38	23	E34
25	39	18	E55
62	40	22	E36
26	41	13	E53
63	42	24	E38
64	43	16	E40
65	44	  	E42
66	45	20	E44
27	46	17	E51
67	47	  	E46
28	48	15	E49
68	49	  	E48
29	50	14	E47
69	51	10	E50
30	52	7 	E45
70	53	12	E52
31	54	9 	E43
71	55	  	E54
32	56	11	E41
72	57	  	E56
33	58	3 	E39
73	59	4 	E58
34	60	  	E37
74	61	6 	E60
35	62	8 	E35
75	63	5 	E62
36	64	2 	E33
76	65	1 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
