#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	  	E31
3	3	32  	E29
4	4	29      E27
5	5	        E25
42	6	27 	E2
6	7	21      E23
43	8	24	E4
7	9	18  	E21
44	10	30	E6
8	11	23 	E19
45	12	31	E8
9	13	  	E17
46	14	28	E10
10	15	22	E15
47	16	26 	E12
11	17	19	E13
48	18	  	E14
12	19	14	E11
49	20	25	E16
13	21	  	E9
50	22	16      E18
14	23	  	E7
51	24	20	E20
15	25	12	E5
52	26	  	E22
16	27	  	E3
53	28	  	E24
17	29	13	E1
54	30	17	E26
21	31	  	E63
55	32	15	E28
22	33	  	E61
56	34	  	E30
23	35	11	E59
57	36	  	E32
24	37	9 	E57
61	38	  	E34
25	39	  	E55
62	40	  	E36
26	41	  	E53
63	42	10	E38
64	43	  	E40
65	44	  	E42
66	45	8 	E44
27	46	6 	E51
67	47	7       E46
28	48	  	E49
68	49	  	E48
29	50	5 	E47
69	51	  	E50
30	52	  	E45
70	53	  	E52
31	54	  	E43
71	55	  	E54
32	56	4 	E41
72	57	  	E56
33	58	  	E39
73	59	  	E58
34	60	  	E37
74	61	3 	E60
35	62	2 	E35
75	63	  	E62
36	64	1 	E33
76	65	  	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
