#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	  	E31
3	3	  	E29
4	4	47       E27
5	5	         E25
42	6	   	E2
6	7	        E23
43	8	49	E4
7	9	41  	E21
44	10	  	E6
8	11	50 	E19
45	12	48	E8
9	13	46	E17
46	14	43	E10
10	15	39	E15
47	16	42 	E12
11	17	35	E13
48	18	  	E14
12	19	37	E11
49	20	45	E16
13	21	34	E9
50	22	        E18
14	23	28	E7
51	24	36	E20
15	25	38	E5
52	26	40	E22
16	27	24	E3
53	28	33	E24
17	29	30	E1
54	30	44	E26
21	31	20	E63
55	32	31	E28
22	33	15	E61
56	34	29	E30
23	35	  	E59
57	36	23	E32
24	37	25	E57
61	38	32	E34
25	39	12	E55
62	40	19	E36
26	41	8 	E53
63	42	26	E38
64	43	16	E40
65	44	11	E42
66	45	27	E44
27	46	22	E51
67	47	21	E46
28	48	  	E49
68	49	9 	E48
29	50	6 	E47
69	51	5 	E50
30	52	3 	E45
70	53	17	E52
31	54	14	E43
71	55	18	E54
32	56	1 	E41
72	57	4 	E56
33	58	  	E39
73	59	2 	E58
34	60	  	E37
74	61	13	E60
35	62	10	E35
75	63	  	E62
36	64	7 	E33
76	65	  	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
