#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	60	E31
3	3	62	E29
4	4	58       E27
5	5	52       E25
42	6	61 	E2
6	7	48      E23
43	8	57	E4
7	9	54  	E21
44	10	56	E6
8	11	59 	E19
45	12	63	E8
9	13	40	E17
46	14	53	E10
10	15	36	E15
47	16	64 	E12
11	17	55	E13
48	18	44	E14
12	19	46	E11
49	20	49	E16
13	21	30	E9
50	22	50      E18
14	23	27	E7
51	24	45	E20
15	25	47	E5
52	26	33	E22
16	27	21	E3
53	28	41	E24
17	29	38	E1
54	30	51	E26
21	31	35	E63
55	32	42	E28
22	33	16	E61
56	34	24	E30
23	35	31	E59
57	36	37	E32
24	37	39	E57
61	38	34	E34
25	39	32	E55
62	40	18	E36
26	41	10	E53
63	42	43	E38
64	43	14	E40
65	44	12	E42
66	45	28	E44
27	46	26	E51
67	47	29	E46
28	48	25	E49
68	49	8 	E48
29	50	20	E47
69	51	6 	E50
30	52	5 	E45
70	53	23	E52
31	54	22	E43
71	55	19	E54
32	56	17	E41
72	57	4 	E56
33	58	13	E39
73	59	3 	E58
34	60	2 	E37
74	61	15	E60
35	62	11	E35
75	63	9 	E62
36	64	7 	E33
76	65	1 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
