#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	64	E31
3	3	60	E29
4	4	51       E27
5	5	55       E25
42	6	54 	E2
6	7	52      E23
43	8	57	E4
7	9	61  	E21
44	10	58	E6
8	11	56 	E19
45	12	62	E8
9	13	46	E17
46	14	63	E10
10	15	45	E15
47	16	48 	E12
11	17	50	E13
48	18	49	E14
12	19	40	E11
49	20	59	E16
13	21	41	E9
50	22	53      E18
14	23	38	E7
51	24	44	E20
15	25	35	E5
52	26	42	E22
16	27	34	E3
53	28	47	E24
17	29	36	E1
54	30	43	E26
21	31	26	E63
55	32	39	E28
22	33	30	E61
56	34	37	E30
23	35	15	E59
57	36	31	E32
24	37	29	E57
61	38	32	E34
25	39	24	E55
62	40	33	E36
26	41	23	E53
63	42	21	E38
64	43	28	E40
65	44	25	E42
66	45	27	E44
27	46	22	E51
67	47	20	E46
28	48	18	E49
68	49	19	E48
29	50	13	E47
69	51	17	E50
30	52	12	E45
70	53	8 	E52
31	54	16	E43
71	55	11	E54
32	56	14	E41
72	57	10	E56
33	58	6 	E39
73	59	7 	E58
34	60	5 	E37
74	61	9 	E60
35	62	1 	E35
75	63	4 	E62
36	64	2 	E33
76	65	3 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
