#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	62	E31
3	3	57	E29
4	4	49       E27
5	5	59       E25
42	6	53 	E2
6	7	54      E23
43	8	61	E4
7	9	55  	E21
44	10	58	E6
8	11	56 	E19
45	12	64	E8
9	13	51	E17
46	14	63	E10
10	15	46	E15
47	16	60 	E12
11	17	48	E13
48	18	50	E14
12	19	44	E11
49	20	45	E16
13	21	43	E9
50	22	52      E18
14	23	38	E7
51	24	41	E20
15	25	39	E5
52	26	47	E22
16	27	34	E3
53	28	42	E24
17	29	33	E1
54	30	37	E26
21	31	30	E63
55	32	40	E28
22	33	27	E61
56	34	35	E30
23	35	28	E59
57	36	36	E32
24	37	25	E57
61	38	32	E34
25	39	20	E55
62	40	31	E36
26	41	19	E53
63	42	29	E38
64	43	26	E40
65	44	23	E42
66	45	24	E44
27	46	21	E51
67	47	22	E46
28	48	16	E49
68	49	15	E48
29	50	17	E47
69	51	18	E50
30	52	10	E45
70	53	11	E52
31	54	6 	E43
71	55	14	E54
32	56	1 	E41
72	57	13	E56
33	58	9 	E39
73	59	8 	E58
34	60	4 	E37
74	61	12	E60
35	62	7 	E35
75	63	5 	E62
36	64	2 	E33
76	65	3 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
