#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	54	E31
3	3	47	E29
4	4	1       E27
5	5	63      E25
42	6	18	E2
6	7	55	E23
43	8	19	E4
7	9	48	E21
44	10	30	E6
8	11	2 	E19
45	12	40	E8
9	13	64	E17
46	14	60	E10
10	15	56	E15
47	16	20	E12
11	17	49	E13
48	18	31	E14
12	19	3 	E11
49	20	41	E16
13	21	62	E9
50	22	61	E18
14	23	50	E7
51	24	21	E20
15	25	43	E5
52	26	32	E22
16	27	51	E3
53	28	42	E24
17	29	4 	E1
54	30	57	E26
21	31	59	E63
55	32	22	E28
22	33	34	E61
56	34	33	E30
23	35	23	E59
57	36	58	E32
24	37	7 	E57
61	38	5 	E34
25	39	53	E55
62	40	44	E36
26	41	35	E53
63	42	6 	E38
64	43	52	E40
65	44	45	E42
66	45	9 	E44
27	46	24	E51
67	47	46	E46
28	48	8 	E49
68	49	39	E48
29	50	11	E47
69	51	38	E50
30	52	36	E45
70	53	10	E52
31	54	25	E43
71	55	17	E54
32	56	12	E41
72	57	16	E56
33	58	13	E39
73	59	15	E58
34	60	37	E37
74	61	29	E60
35	62	26	E35
75	63	27	E62
36	64	28	E33
76	65	14	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
