#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	3	E31
3	3	6	E29
4	4	14      E27
5	5	11      E25
42	6	10	E2
6	7	4	E23
43	8	2	E4
7	9	15	E21
44	10	7	E6
8	11	17	E19
45	12	5	E8
9	13	19	E17
46	14	1	E10
10	15	12	E15
47	16	18	E12
11	17	16	E13
48	18	8	E14
12	19	26	E11
49	20	13	E16
13	21	20	E9
50	22	9	E18
14	23	27	E7
51	24	22	E20
15	25	32	E5
52	26	23	E22
16	27	31	E3
53	28	21	E24
17	29	30	E1
54	30	24	E26
21	31	33	E63
55	32	25	E28
22	33	40	E61
56	34	28	E30
23	35	37	E59
57	36	29	E32
24	37	44	E57
61	38	34	E34
25	39	41	E55
62	40	35	E36
26	41	43	E53
63	42	36	E38
64	43	39	E40
65	44	48	E42
66	45	38	E44
27	46	42	E51
67	47	52	E46
28	48	49	E49
68	49	56	E48
29	50	53	E47
69	51	47	E50
30	52	60	E45
70	53	45	E52
31	54	46	E43
71	55	51	E54
32	56	57	E41
72	57	55	E56
33	58	61	E39
73	59	64	E58
34	60	59	E37
74	61	50	E60
35	62	62	E35
75	63	58	E62
36	64	54	E33
76	65	63	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
