#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	19	E31
3	3	15	E29
4	4	6       E27
5	5	7       E25
42	6	18	E2
6	7	23	E23
43	8	14	E4
7	9	3 	E21
44	10	11      E6
8	11	5 	E19
45	12	10	E8
9	13	8 	E17
46	14	22	E10
10	15	27	E15
47	16	2 	E12
11	17	13	E13
48	18	4	E14
12	19	17	E11
49	20	1 	E16
13	21	20	E9
50	22	26	E18
14	23	24	E7
51	24	9 	E20
15	25	30	E5
52	26	12	E22
16	27	32	E3
53	28	16	E24
17	29	29	E1
54	30	21	E26
21	31	40	E63
55	32	25	E28
22	33	35	E61
56	34	31	E30
23	35	37	E59
57	36	28	E32
24	37	41	E57
61	38	33	E34
25	39	52	E55
62	40	36	E36
26	41	56	E53
63	42	34	E38
64	43	44	E40
65	44	48	E42
66	45	45	E44
27	46	53	E51
67	47	49	E46
28	48	38	E49
68	49	39	E48
29	50	61	E47
69	51	60	E50
30	52	64	E45
70	53	57	E52
31	54	62	E43
71	55	63	E54
32	56	42	E41
72	57	43	E56
33	58	54	E39
73	59	59	E58
34	60	55	E37
74	61	58	E60
35	62	50	E35
75	63	51	E62
36	64	46	E33
76	65	47	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
