#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	14	E31
3	3	7	E29
4	4	28      E27
5	5	2       E25
42	6	21	E2
6	7	22	E23
43	8	29	E4
7	9	19 	E21
44	10	30      E6
8	11	12	E19
45	12	13	E8
9	13	8  	E17
46	14	20	E10
10	15	38	E15
47	16	6 	E12
11	17	37	E13
48	18	1	E14
12	19	36	E11
49	20	27	E16
13	21	31	E9
50	22	11	E18
14	23	18	E7
51	24	39	E20
15	25	35	E5
52	26	40	E22
16	27	41	E3
53	28	26	E24
17	29	34	E1
54	30	17	E26
21	31	9 	E63
55	32	25	E28
22	33	23	E61
56	34	15	E30
23	35	33	E59
57	36	24	E32
24	37	10	E57
61	38	  	E34
25	39	45	E55
62	40	3 	E36
26	41	  	E53
63	42	16	E38
64	43	4 	E40
65	44	5 	E42
66	45	32	E44
27	46	49	E51
67	47	46	E46
28	48	47	E49
68	49	48	E48
29	50	43	E47
69	51	50	E50
30	52	53	E45
70	53	44	E52
31	54	52	E43
71	55	42	E54
32	56	54	E41
72	57	51	E56
33	58	56	E39
73	59	62	E58
34	60	59	E37
74	61	55	E60
35	62	60	E35
75	63	57	E62
36	64	58	E33
76	65	61	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
