#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	5	E31
3	3	1	E29
4	4	10      E27
5	5	6       E25
42	6	2 	E2
6	7	7	E23
43	8	4	E4
7	9	14	E21
44	10	3	E6
8	11	16	E19
45	12	9	E8
9	13	8 	E17
46	14	11	E10
10	15	18	E15
47	16	13	E12
11	17	24	E13
48	18	12	E14
12	19	26	E11
49	20	15	E16
13	21	21	E9
50	22	17	E18
14	23	42	E7
51	24	19	E20
15	25	28	E5
52	26	20	E22
16	27	23	E3
53	28	25	E24
17	29	44	E1
54	30	27	E26
21	31	  	E63
55	32	43	E28
22	33	40	E61
56	34	22	E30
23	35	45	E59
57	36	29	E32
24	37	32	E57
61	38	30	E34
25	39	34	E55
62	40	41	E36
26	41	38	E53
63	42	31	E38
64	43	  	E40
65	44	39	E42
66	45	33	E44
27	46	37	E51
67	47	35	E46
28	48	46	E49
68	49	36	E48
29	50	47	E47
69	51	60	E50
30	52	49	E45
70	53	  	E52
31	54	48	E43
71	55	  	E54
32	56	50	E41
72	57	59	E56
33	58	52	E39
73	59	58	E58
34	60	55	E37
74	61	51	E60
35	62	56	E35
75	63	53	E62
36	64	54	E33
76	65	57      E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
