#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	8	E31
3	3	  	E29
4	4	3       E27
5	5	9       E25
42	6	5 	E2
6	7	10	E23
43	8	7	E4
7	9	16	E21
44	10	6	E6
8	11	18	E19
45	12	4	E8
9	13	11	E17
46	14	2	E10
10	15	15	E15
47	16	  	E12
11	17	13	E13
48	18	1	E14
12	19	  	E11
49	20	17	E16
13	21	21	E9
50	22	14	E18
14	23	  	E7
51	24	19	E20
15	25	  	E5
52	26	20	E22
16	27	23	E3
53	28	12	E24
17	29	51	E1
54	30	24	E26
21	31	38	E63
55	32	37	E28
22	33	35	E61
56	34	22	E30
23	35	27	E59
57	36	25	E32
24	37	53	E57
61	38	26	E34
25	39	29	E55
62	40	36	E36
26	41	33	E53
63	42	52	E38
64	43	28	E40
65	44	34	E42
66	45	39	E44
27	46	32	E51
67	47	54	E46
28	48	30	E49
68	49	31	E48
29	50	55	E47
69	51	50	E50
30	52	42	E45
70	53	40	E52
31	54	58	E43
71	55	41	E54
32	56	56	E41
72	57	49	E56
33	58	59	E39
73	59	48	E58
34	60	45	E37
74	61	43	E60
35	62	46	E35
75	63	44	E62
36	64	57	E33
76	65	47	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
