#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	 	E31
3	3	15	E29
4	4	14      E27
5	5	        E25
42	6	16	E2
6	7	 	E23
43	8	8	E4
7	9	6 	E21
44	10	 	E6
8	11	12	E19
45	12	3	E8
9	13	  	E17
46	14	7	E10
10	15	25	E15
47	16	13	E12
11	17	22	E13
48	18	2	E14
12	19	5 	E11
49	20	1 	E16
13	21	  	E9
50	22	24	E18
14	23	20	E7
51	24	23	E20
15	25	19	E5
52	26	  	E22
16	27	  	E3
53	28	21	E24
17	29	9 	E1
54	30	11	E26
21	31	17	E63
55	32	4 	E28
22	33	  	E61
56	34	  	E30
23	35	27	E59
57	36	10	E32
24	37	28	E57
61	38	18	E34
25	39	31	E55
62	40	  	E36
26	41	  	E53
63	42	26	E38
64	43	29	E40
65	44	  	E42
66	45	30	E44
27	46	33	E51
67	47	32	E46
28	48	34	E49
68	49	35	E48
29	50	37	E47
69	51	  	E50
30	52	40	E45
70	53	36	E52
31	54	39	E43
71	55	38	E54
32	56	41	E41
72	57	  	E56
33	58	43	E39
73	59	  	E58
34	60	  	E37
74	61	42	E60
35	62	44	E35
75	63 	45	E62
36	64	46	E33
76	65	  	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
