#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	13	E31
3	3	5	E29
4	4	1       E27
5	5	14      E25
42	6	6 	E2
6	7	15	E23
43	8	12	E4
7	9	2 	E21
44	10	7	E6
8	11	  	E19
45	12	4	E8
9	13	16	E17
46	14	11	E10
10	15	22	E15
47	16	  	E12
11	17	21	E13
48	18	3	E14
12	19	20	E11
49	20	10	E16
13	21	25	E9
50	22	9	E18
14	23	  	E7
51	24	23	E20
15	25	17	E5
52	26	24	E22
16	27	27	E3
53	28	8 	E24
17	29	  	E1
54	30	19	E26
21	31	  	E63
55	32	18	E28
22	33	40	E61
56	34	26	E30
23	35	29	E59
57	36	  	E32
24	37	30	E57
61	38	  	E34
25	39	33	E55
62	40	41	E36
26	41	38	E53
63	42	28	E38
64	43	31	E40
65	44	39	E42
66	45	32	E44
27	46	37	E51
67	47	34	E46
28	48	35	E49
68	49	36	E48
29	50	43	E47
69	51	57	E50
30	52	46	E45
70	53	42	E52
31	54	45	E43
71	55	44	E54
32	56	47	E41
72	57	56	E56
33	58	49	E39
73	59	55	E58
34	60	52	E37
74	61	48	E60
35	62	53	E35
75	63	50	E62
36	64	51	E33
76	65	54	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
