#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	19	E31
3	3	13	E29
4	4	3       E27
5	5	4       E25
42	6	18	E2
6	7	20	E23
43	8	8	E4
7	9	15	E21
44	10	14	E6
8	11	17	E19
45	12	9	E8
9	13	25	E17
46	14	12	E10
10	15	10	E15
47	16	23	E12
11	17	2 	E13
48	18	24	E14
12	19	1 	E11
49	20	22	E16
13	21	  	E9
50	22	5	E18
14	23	  	E7
51	24	7 	E20
15	25	21	E5
52	26	26	E22
16	27	31	E3
53	28	6 	E24
17	29	28	E1
54	30	11	E26
21	31	33	E63
55	32	16	E28
22	33	  	E61
56	34	32	E30
23	35	38	E59
57	36	27	E32
24	37	43	E57
61	38	29	E34
25	39	  	E55
62	40	30	E36
26	41	47	E53
63	42	  	E38
64	43	  	E40
65	44	  	E42
66	45	48	E44
27	46	34	E51
67	47	53	E46
28	48	39	E49
68	49	42	E48
29	50	37	E47
69	51	52	E50
30	52	57	E45
70	53	44	E52
31	54	54	E43
71	55	49	E54
32	56	35	E41
72	57	46	E56
33	58	45	E39
73	59	36	E58
34	60	41	E37
74	61	40	E60
35	62	55	E35
75	63	56	E62
36	64	50	E33
76	65	51	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
