#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	22	E31
3	3	15	E29
4	4	3       E27
5	5	4       E25
42	6	21	E2
6	7	23	E23
43	8	9	E4
7	9	17	E21
44	10	16	E6
8	11	20	E19
45	12	10	E8
9	13	28	E17
46	14	14	E10
10	15	11	E15
47	16	26	E12
11	17	2 	E13
48	18	27	E14
12	19	1 	E11
49	20	25	E16
13	21	12	E9
50	22	5	E18
14	23	24	E7
51	24	8 	E20
15	25	19	E5
52	26	6 	E22
16	27	33	E3
53	28	18	E24
17	29	30	E1
54	30	7 	E26
21	31	35	E63
55	32	13	E28
22	33	40	E61
56	34	29	E30
23	35	41	E59
57	36	34	E32
24	37	47	E57
61	38	31	E34
25	39	64	E55
62	40	32	E36
26	41	51	E53
63	42	46	E38
64	43	52	E40
65	44	58	E42
66	45	53	E44
27	46	36	E51
67	47	59	E46
28	48	42	E49
68	49	45	E48
29	50	39	E47
69	51	57	E50
30	52	63	E45
70	53	48	E52
31	54	60	E43
71	55	54	E54
32	56	37	E41
72	57	50	E56
33	58	49	E39
73	59	38	E58
34	60	44	E37
74	61	43	E60
35	62	61	E35
75	63	62	E62
36	64	55	E33
76	65	56	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
