#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	3	E31
3	3	4	E29
4	4	9       E27
5	5	7       E25
42	6	2 	E2
6	7	10	E23
43	8	1	E4
7	9	11	E21
44	10	5	E6
8	11	8 	E19
45	12	6       E8
9	13	17	E17
46	14	14	E10
10	15	19	E15
47	16	16	E12
11	17	20	E13
48	18	12	E14
12	19	27	E11
49	20	13	E16
13	21	25	E9
50	22	18	E18
14	23	28	E7
51	24	22	E20
15	25	21	E5
52	26	23	E22
16	27	33	E3
53	28	24	E24
17	29	32	E1
54	30	29	E26
21	31	31	E63
55	32	15	E28
22	33	37	E61
56	34	30	E30
23	35	39	E59
57	36	26	E32
24	37	43	E57
61	38	36	E34
25	39	47	E55
62	40	34	E36
26	41	42	E53
63	42	35	E38
64	43	38	E40
65	44	41	E42
66	45	40	E44
27	46	44	E51
67	47	50	E46
28	48	53	E49
68	49	45	E48
29	50	59	E47
69	51	46	E50
30	52	49	E45
70	53	56	E52
31	54	48	E43
71	55	61	E54
32	56	63	E41
72	57	52	E56
33	58	62	E39
73	59	55	E58
34	60	58	E37
74	61	51	E60
35	62	57	E35
75	63	60	E62
36	64	54	E33
76	65	64	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
