#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	3	E31
3	3	5	E29
4	4	12      E27
5	5	8       E25
42	6	2 	E2
6	7	13	E23
43	8	7	E4
7	9	14	E21
44	10	4	E6
8	11	11	E19
45	12	9	E8
9	13	18	E17
46	14	1	E10
10	15	15	E15
47	16	6 	E12
11	17	22	E13
48	18	10	E14
12	19	24	E11
49	20	17	E16
13	21	23	E9
50	22	16	E18
14	23	26	E7
51	24	21	E20
15	25	29	E5
52	26	19	E22
16	27	31	E3
53	28	20	E24
17	29	32	E1
54	30	25	E26
21	31	36	E63
55	32	28	E28
22	33	35	E61
56	34	27	E30
23	35	40	E59
57	36	30	E32
24	37	37	E57
61	38	33	E34
25	39	42	E55
62	40	34	E36
26	41	47	E53
63	42	39	E38
64	43	38	E40
65	44	43	E42
66	45	44	E44
27	46	41	E51
67	47	48	E46
28	48	52	E49
68	49	46	E48
29	50	45	E47
69	51	51	E50
30	52	50	E45
70	53	56	E52
31	54	60      E43
71	55	55	E54
32	56	63	E41
72	57	54	E56
33	58	64	E39
73	59	59	E58
34	60	58	E37
74	61	49	E60
35	62	61	E35
75	63	57	E62
36	64	53	E33
76	65	62	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
