#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	10	E31
3	3	 	E29
4	4	2       E27
5	5	5       E25
42	6	3 	E2
6	7	6 	E23
43	8	9	E4
7	9	11	E21
44	10	4 	E6
8	11	15	E19
45	12	 	E8
9	13	17 	E17
46	14	8	E10
10	15	12 	E15
47	16	1 	E12
11	17	  	E13
48	18	16	E14
12	19	14 	E11
49	20	  	E16
13	21	24	E9
50	22	 	E18
14	23	23	E7
51	24	7 	E20
15	25	  	E5
52	26	18	E22
16	27	36	E3
53	28	  	E24
17	29	21	E1
54	30	  	E26
21	31	20	E63
55	32	13	E28
22	33	42	E61
56	34	30	E30
23	35	31	E59
57	36	  	E32
24	37	37	E57
61	38	19	E34
25	39	  	E55
62	40	22	E36
26	41	41	E53
63	42	25	E38
64	43	48	E40
65	44	54	E42
66	45	43	E44
27	46	26	E51
67	47	49	E46
28	48	32	E49
68	49	35	E48
29	50	29	E47
69	51	47	E50
30	52	53	E45
70	53	38  	E52
31	54	50	E43
71	55	44	E54
32	56	27	E41
72	57	40	E56
33	58	39	E39
73	59	28	E58
34	60	34	E37
74	61	33	E60
35	62	51	E35
75	63	52	E62
36	64	45	E33
76	65	46	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
