#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	16	E31
3	3	9	E29
4	4	        E27
5	5	5       E25
42	6	15	E2
6	7	11	E23
43	8	3	E4
7	9	17	E21
44	10	10	E6
8	11	14	E19
45	12	4	E8
9	13	23	E17
46	14	8	E10
10	15	6 	E15
47	16	21	E12
11	17	  	E13
48	18	22	E14
12	19	1 	E11
49	20	20	E16
13	21	18	E9
50	22	 	E18
14	23	24	E7
51	24	2 	E20
15	25	19	E5
52	26	12	E22
16	27	29	E3
53	28	  	E24
17	29	27	E1
54	30	7 	E26
21	31	26	E63
55	32	13	E28
22	33	36	E61
56	34	30	E30
23	35	37	E59
57	36	42	E32
24	37	43	E57
61	38	25	E34
25	39	54	E55
62	40	28	E36
26	41	47	E53
63	42	31	E38
64	43	48	E40
65	44	60	E42
66	45	49	E44
27	46	32	E51
67	47	55	E46
28	48	38	E49
68	49	41	E48
29	50	35	E47
69	51	53	E50
30	52	59	E45
70	53	44	E52
31	54	56	E43
71	55	50	E54
32	56	33	E41
72	57	46	E56
33	58	45	E39
73	59	34	E58
34	60	40	E37
74	61	39	E60
35	62	57	E35
75	63	58	E62
36	64	51	E33
76	65	52	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
