#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	4	E31
3	3	1	E29
4	4	6       E27
5	5	7       E25
42	6	3 	E2
6	7	16	E23
43	8	2	E4
7	9	20	E21
44	10	8	E6
8	11	13	E19
45	12	12	E8
9	13	15	E17
46	14	5	E10
10	15	24	E15
47	16	9 	E12
11	17	28	E13
48	18	11	E14
12	19	25	E11
49	20	10	E16
13	21	40	E9
50	22	17	E18
14	23	32	E7
51	24	14	E20
15	25	22	E5
52	26	19	E22
16	27	27	E3
53	28	21	E24
17	29	37	E1
54	30	18	E26
21	31	33	E63
55	32	29	E28
22	33	48	E61
56	34	23	E30
23	35	49	E59
57	36	36	E32
24	37	30	E57
61	38	26	E34
25	39	35	E55
62	40	44	E36
26	41	60	E53
63	42	31	E38
64	43	52	E40
65	44	56	E42
66	45	41	E44
27	46	34	E51
67	47	45	E46
28	48	53	E49
68	49	  	E48
29	50	38	E47
69	51	39	E50
30	52	47	E45
70	53	57	E52
31	54	  	E43
71	55	43	E54
32	56	  	E41
72	57	55	E56
33	58	58	E39
73	59	51	E58
34	60	  	E37
74	61	42	E60
35	62	54	E35
75	63	50	E62
36	64	46	E33
76	65	59	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
