# Plane types per cathods	
	
undefined  undefined
	
# Station 3 - Chamber  5 	 
	
500 122000SR1_NAN_01	122000SR1_bp	122000SR1_nbp
501 112200SR2_NAN_02	112200SR2_bp	112200SR2_nbp
502 122200S_NAN_02	122200S_bp	122200S_nbp
503 222000N_CAG_07	222000N_nbp	222000N_bp
504 220000N_GAT_09	220000N_bp	220000N_nbp
505 220000N_GAT_02	220000N_nbp	220000N_bp
506 222000N_CAG_04	222000N_bp	222000N_nbp
507 122200S_NAN_04	122200S_nbp	122200S_bp
508 112200SR2_NAN_03	112200SR2_nbp	112200SR2_bp
509 122000SR1_NAN_02	122000SR1_nbp	122000SR1_bp
510 112200SR2_NAN_05	112200SR2_bp	112200SR2_nbp
511 122200S_NAN_03	122200S_nbp	122200S_bp
512 222000N_CAG_01	222000N_bp	222000N_nbp
513 220000N_GAT_03	220000N_nbp	220000N_bp
514 220000N_GAT_07	220000N_bp	220000N_nbp
515 222000N_CAG_05	222000N_nbp	222000N_bp
516 122200S_NAN_01	122200S_bp	122200S_nbp
517 112200SR2_NAN_04	112200SR2_nbp	112200SR2_bp
	
# Station 3 - Chamber  6
	
600 122000NR1_NAN_03	122000NR1_bp	122000NR1_nbp
601 112200NR2_SAC_02	112200NR2_bp	112200NR2_nbp
602 122200N_SAC_02	122200N_bp	122200N_nbp
603 222000N_CAG_03	222000N_nbp	222000N_bp
604 220000N_GAT_08	220000N_bp	220000N_nbp
605 220000N_GAT_05	220000N_nbp	220000N_bp
606 222000N_CAG_02	222000N_bp	222000N_nbp
607 122200N_NAN_03	122200N_nbp	122200N_bp
608 112200NR2_SAC_03	112200NR2_nbp	112200NR2_bp
609 122000NR1_NAN_02	122000NR1_nbp	122000NR1_bp
610 112200NR2_SAC_05	112200NR2_bp	112200NR2_nbp
611 122200N_NAN_02	122200N_nbp	122200N_bp
612 222000N_CAG_09	222000N_bp	222000N_nbp
613 220000N_GAT_04	220000N_nbp	220000N_bp
614 220000N_GAT_06	220000N_bp	220000N_nbp
615 222000N_CAG_06	222000N_nbp	222000N_bp
616 122200N_SAC_01	122200N_bp	122200N_nbp
617 112200NR2_SAC_04	112200NR2_nbp	112200NR2_bp
	
# Station 4 - Chamber  7
	
700 122330N_CAG_02	122330N_bp	122330N_nbp
701 112233NR3_SAC_03	112233NR3_bp	112233NR3_nbp
702 112230N_NAN_03	112230N_bp	112230N_nbp
703 222330N_SAC_01	222330N_nbp	222330N_bp
704 223300N_SAC_05	223300N_bp	223300N_nbp
705 333000N_GAT_03	333000N_nbp	333000N_bp
706 330000N_CAG_02	330000N_bp	330000N_nbp
707 330000N_CAG_06	330000N_nbp	330000N_bp
708 333000N_GAT_09	333000N_bp	333000N_nbp
709 223300N_NAN_02	223300N_nbp	223300N_bp
710 222330N_SAC_03	222330N_bp	222330N_nbp
711 112230N_NAN_09	112230N_nbp	112230N_bp
712 112233NR3_NAN_02	112233NR3_nbp	112233NR3_bp
713 122330N_CAG_04	122330N_nbp	122330N_bp
714 112233NR3_NAN_03	112233NR3_bp	112233NR3_nbp
715 112230N_NAN_02	112230N_nbp	112230N_bp
716 222330N_SAC_04	222330N_bp	222330N_nbp
717 223300N_NAN_03	223300N_nbp	223300N_bp
718 333000N_GAT_12	333000N_bp	333000N_nbp
719 330000N_CAG_08	330000N_nbp	330000N_bp
720 330000N_CAG_01	330000N_bp	330000N_nbp
721 333000N_GAT_17	333000N_nbp	333000N_bp
722 223300N_SAC_03	223300N_bp	223300N_nbp
723 222330N_SAC_02	222330N_nbp	222330N_bp
724 112230N_NAN_07	112230N_bp	112230N_nbp
725 112233NR3_NAN_05	112233NR3_nbp	112233NR3_bp
	
# Station 4 - Chamber  8
	
800 122330N_CAG_01	122330N_bp	122330N_nbp
801 112233NR3_SAC_08	112233NR3_bp	112233NR3_nbp
802 112230N_NAN_05	112230N_bp	112230N_nbp
803 222330N_SAC_05	222330N_nbp	222330N_bp
