# Id serial
# serial missing for manuId 319
1 15709
2 15876
3 15734
4 15418
5 15713
6 15348
7 15400
8 15407
9 15404
10 15472
11 15579
12 15481
13 15462
14 15476
15 15745
16 15366
17 15441
18 15445
19 15442
20 15438
21 15464
22 15449
23 15453
24 15360
25 15414
26 15352
27 15376
28 15605
29 15497
30 15582
31 15588
32 15501
33 15535
34 15574
101 15547
102 15566
103 15460
104 15257
105 15493
106 15601
107 15517
108 15384
109 15456
110 15421
111 15336
112 15388
113 15593
114 15984
115 15558
116 15372
117 15392
118 15266
119 15410
120 15380
201 15719
202 15846
203 15792
204 15528
205 15540
206 15757
207 15642
208 15814
209 15875
210 15684
211 15417
212 15488
213 15522
214 15608
215 15666
216 15816
217 15426
218 15468
219 15345
220 15467
221 15571
222 15573
223 15527
301 15485
302 15524
303 15554
304 15503
305 15543
306 15529
307 15609
308 15550
309 15597
310 15798
311 15539
312 15612
313 15623
314 15434
315 15506
316 15562
317 15598
318 15532
319 00000
320 15405
321 15342
322 15492
323 15669
324 15393
325 15804
326 15733
327 15789
328 15746
329 15430
330 15475
331 15288
332 15706
333 15672
334 15629
