# Id serial (old Id)
  1  bp 10991 1
  2  bp 10949 2
  3  bp 11021 3
  4  bp 11019 4
  5  bp 11022 5
  6  bp 10524 6
  7  bp 10942 7
  8  bp 11023 8
  9  bp 10971 9
 10  bp 10958 10
 11 nbp 10879 1031
 12 nbp 10975 1030
 13 nbp 10869 1029
 14 nbp 10976 1028
 15 nbp 10943 1027
 16 nbp 10883 1026
 17 nbp 10891 1025
 18  bp 11009 11
 19  bp 10954 12
 20  bp 10956 13
 21  bp 10987 14
 22  bp 10989 15
 23  bp 10937 16
 24  bp 11000 17
 25  bp 10986 18
 26  bp 10992 19
 27  bp 10988 20
 28 nbp 10953 1038
 29 nbp 10959 1037
 30 nbp 10871 1036
 31 nbp 11011 1035
 32 nbp 10950 1034
 33 nbp 10969 1033
 34 nbp 10947 1032
101 nbp 10978 1125
102 nbp 10997 1126
103  bp 11049 102
104  bp 11048 101
105 nbp 10890 1127
106 nbp 10881 1128
107 nbp 10996 1129
108  bp 10645 107
109  bp 11027 106
110  bp 11043 105
111  bp 11063 104
112  bp 11051 103
113 nbp 10963 1130
114 nbp 10684 1131
115 nbp 10952 1132
116  bp 11033 112
117  bp 10938 111
118  bp 10647 110
119  bp 11032 109
120  bp 11034 108
201  bp 10957 201
202  bp 10965 202
203  bp 10970 203
204 nbp 10994 1226
205 nbp 10877 1225
206  bp 10968 204
207  bp 10907 205
208  bp 11029 206
209  bp 11042 207
210  bp 11037 208
211 nbp 11006 1230
212 nbp 10918 1229
213 nbp 10932 1228
214 nbp 10977 1227
215  bp 11017 209
216  bp 11035 210
217  bp 11018 211
218  bp 11028 212
219  bp 10906 213
220 nbp 10936 1234
221 nbp 10941 1233
222 nbp 11004 1232
223 nbp 10995 1231
301 nbp 11007 1325
302 nbp 10945 1326
303 nbp 10981 1327
304 nbp 11008 1328
305 nbp 10754 1329
306 nbp 10982 1330
307 nbp 10998 1331
308  bp 10903 310
309  bp 11015 309
310  bp 10966 308
311  bp 10990 307
312  bp 11003 306
313  bp 10934 305
314  bp 11046 304
315  bp 11045 303
316  bp 11036 302
317  bp 11031 301
318 nbp 10939 1332
319 nbp 10554 1333
320 nbp 10550 1334
321 nbp 10935 1335
322 nbp 10529 1336
323 nbp 10878 1337
324 nbp 10993 1338
325  bp 11040 320
326  bp 10576 319
327  bp 11038 318
328  bp 10908 317
329  bp 10944 316
330  bp 11024 315
331  bp 11039 314
332  bp 11026 313
333  bp 10904 312
334  bp 10964 311
