# Id serial
serial missing for manuId 223
1 11728
2 11739
3 11743
4 11753
5 11740
6 11798
7 11797
8 11796
9 11795
10 11794
11 11958
12 11955
13 11963
14 11838
15 11843
16 11951
17 11956
18 11793
19 11791
20 11811
21 11924
22 11818
23 11816
24 11813
25 11820
26 11829
27 11828
28 11989
29 11960
30 11954
31 11953
32 11957
33 11962
34 11964
101 11803
102 12002
103 11921
104 11925
105 11920
106 11822
107 11831
108 11841
109 11845
110 12009
111 12008
112 11854
113 11817
114 11896
115 11871
116 11933
117 11857
118 11980
119 11894
120 11935
201 11748
202 11741
203 11747
204 11995
205 11994
206 11749
207 11725
208 11738
209 11737
210 11726
211 11999
212 12019
213 12013
214 11993
215 11734
216 11720
217 11730
218 11750
219 11736
220 12010
221 12018
222 12011
223 20000
301 11821
302 11824
303 11842
304 11848
305 11847
306 11819
307 11837
308 11744
309 11718
310 11717
311 11715
312 11711
313 11712
314 11691
315 11713
316 11714
317 11719
318 12016
319 11815
320 11812
321 11832
322 11823
323 12005
324 11836
325 11729
326 11723
327 11722
328 11758
329 11757
330 11721
331 11745
332 11746
333 11731
334 11892
