# Id serial
# serial missing/wrong for manuId 17
1 12707
2 12294
3 12737
4 12633
5 12977
6 12878
7 12676
8 12404
9 13066
10 12548
11 12829
12 12613
13 13068
14 12617
15 12635
16 12875
17 20000
18 12945
19 12816
20 12895
21 12741
22 12559
23 12859
24 12853
25 12645
26 12566
101 12799
102 12798
103 12794
104 12697
105 12290
106 12804
107 12563
108 12610
109 12803
110 12421
111 12564
112 12547
113 12601
114 12634
115 12788
116 12550
117 12549
118 12567
119 12553
201 12815
202 12592
203 12891
204 12849
205 12560
206 12612
207 12888
208 12873
209 12769
210 13001
211 12593
212 12817
213 12923
214 12933
215 13002
216 12766
301 13026
302 12943
303 13082
304 13058
305 12990
306 12963
307 12978
308 13084
309 13045
310 12995
311 12848
312 12952
313 12865
314 12880
315 12885
316 12745
317 12782
318 12669
319 12833
320 12843
321 12935
322 12926
323 12787
324 12892
325 12844
326 12823
327 12632
328 12700
329 12797
330 12856
331 12703
332 12940
333 12293
334 12902
335 12607
336 12370
401 12640
402 12887
403 12846
404 12818
405 12808
406 12714
407 12886
408 12646
409 12824
410 12828
411 12897
412 12852
413 12672
