# Id serial (old Id)
# serial missing/wrong for manuId 5 ? (1328)
  1  bp 10604 301
  2 nbp 10561 1325
  3 nbp 10414 1326
  4 nbp 10411 1327
  5 nbp 10151 1328
  6 nbp 10474 1329
  7 nbp 10746 1330
  8 nbp 10503 1331
  9  bp 10677 311
 10  bp 10533 310
 11  bp 10593 309
 12  bp 11255 308
 13  bp 10540 307
 14  bp 11400 306
 15  bp 11338 305
 16  bp 11262 304
 17  bp 10600 303
 18  bp 11285 302
 19 nbp 10408 1332
 20 nbp 10412 1333
 21 nbp 10407 1334
 22  bp 10627 316
 23  bp 11348 315
 24  bp 10454 314
 25  bp 10736 313
 26  bp 11219 312
101  bp 10515 201
102  bp 10582 202
103  bp 11201 203
104 nbp 10545 1226
105 nbp 10798 1225
106  bp 10783 204
107  bp 10549 205
108  bp 11266 206
109 nbp 10743 1228
110 nbp 10424 1227
111  bp 11408 207
112  bp 10880 208
113  bp 11232 209
114  bp 10980 210
115  bp 11252 211
116 nbp 10509 1232
117 nbp 10741 1231
118 nbp 10273 1230
119 nbp 10405 1229
201 nbp 10501 1125
202 nbp 10544 1126
203  bp 11253 102
204  bp 10479 101
205 nbp 10794 1127
206 nbp 10416 1128
207  bp 10504 104
208  bp 10744 103
209 nbp 10753 1129
210 nbp 10403 1130
211 nbp 10476 1131
212  bp 10404 109
213  bp 10419 108
214  bp 10520 107
215  bp 10573 106
216  bp 10779 105
301 nbp 10502 1034
302 nbp 10532 1033
303 nbp 10406 1032
304 nbp 10739 1031
305 nbp 10428 1030
306 nbp 10498 1029
307 nbp 10740 1028
308 nbp 10494 1027
309 nbp 10508 1026
310 nbp 10562 1025
311  bp 10564 1
312  bp 10453 2
313  bp 11226 3
314  bp 11243 4
315  bp 11068 5
316  bp 10572 6
317  bp 10756 7
318  bp 10519 8
319  bp 11030 9
320  bp 10585 10
321 nbp 10506 1041
322 nbp 10507 1040
323 nbp 10420 1039
324 nbp 10632 1038
325 nbp 10512 1037
326 nbp 11061 1036
327 nbp 10500 1035
328  bp 11236 11
329  bp 10458 12
330  bp 10478 13
331  bp 10734 14
332  bp 10551 15
333 nbp 10402 1045
334 nbp 10797 1044
335 nbp 10499 1043
336 nbp 10418 1042
401  bp 10413 401
402  bp 10401 402
403  bp 10423 403
404  bp 10792 404
405  bp 10793 405
406  bp 10427 406
407  bp 10017 407
408  bp 10430 408
409  bp 10426 409
410  bp 10409 410
411  bp 10787 411
412  bp 10543 412
413  bp 10473 413
