# Id serial
# serial missing for manuId 11, 12, 13, 14, 15, 16, 17
1 12027
2 12023
3 11997
4 12022
5 12063
6 12178
7 12045
8 12172
9 12181
10 12173
11 20000
12 20001
13 20002
14 20003
15 20004
16 20005
17 20006
18 12025
19 12095
20 12226
21 12233
22 12274
23 10594
24 12086
25 11826
26 12087
101 12092
102 12202
103 12243
104 11937
105 12091
106 12093
107 11912
108 12244
109 12046
110 12048
111 12047
112 12287
113 12097
114 12284
115 12279
116 12278
201 12242
202 12253
203 12257
204 12145
205 12147
206 12265
207 11904
208 12259
209 12107
210 12044
211 11940
212 11853
213 11966
214 11850
215 11938
216 12114
217 11931
218 12112
219 12101
301 10477
302 10672
303 12028
304 10546
305 10556
306 12180
307 12033
308 12159
309 10518
310 12203
311 12212
312 12214
313 12208
314 12207
315 12174
316 10646
317 10673
318 12083
319 12084
320 11067
321 12154
322 10548
323 12161
324 12078
325 11057
