# Id serial (old Id)
  1  bp 11140 1
  2  bp 11175 2
  3  bp 10005 3
  4  bp 11373 4
  5  bp 10570 5
  6 nbp 11386 1028
  7 nbp 11296 1027
  8 nbp 10553 1026
  9 nbp 10559 1025
 10  bp 11355 6
 11  bp 11354 7
 12  bp 11325 8
 13  bp 11204 9
 14  bp 11055 10
 15 nbp 11385 1032
 16 nbp 11344 1031
 17 nbp 11345 1030
 18 nbp 11320 1029
101 nbp 11347 1125
102 nbp 11346 1126
103  bp 11337 102
104  bp 11321 101
105 nbp 11389 1127
106 nbp 11319 1128
107  bp 11341 104
108  bp 11156 103
109 nbp 11276 1129
110 nbp 11375 1130
111 nbp 11356 1131
112  bp 11326 109
113  bp 11327 108
114  bp 11377 107
115  bp 11322 106
116  bp 10566 105
201  bp 11335 201
202  bp 11333 202
203  bp 11330 203
204 nbp 11343 1226
205 nbp 11342 1225
206  bp 11332 204
207  bp 11340 205
208  bp 11339 206
209 nbp 11370 1228
210 nbp 11368 1227
211  bp 11324 207
212  bp 11336 208
213  bp 11331 209
214  bp 11299 210
215  bp 11334 211
216 nbp 11384 1232
217 nbp 11383 1231
218 nbp 11369 1230
219 nbp 11366 1229
301 nbp 11362 1325
302 nbp 10067 1326
303 nbp 10526 1327
304  bp 11329 305
305  bp 11178 304
306  bp 10725 303
307  bp 11174 302
308  bp 11139 301
309 nbp 11349 1328
310 nbp 10671 1329
311 nbp 11233 1330
312  bp 11378 310
313  bp 11395 309
314  bp 11397 308
315  bp 11420 307
316  bp 11421 306
