1 RC1L1B1 1R 1 011-10-1-0-100  
2 RC1L2B1 1R 2 111-01-1-0-000
3 RC1L2B2 1R 3 110-10-0-0-000
4 RC1L3B1 1R 4 100-01-1-0-000
5 RC1L3B2 1R 5 000-10-0-0-000
6 RC1L4B1 1R 6 000-01-1-0-000
7 RC1L4B2 1R 7 000-00-0-0-000
8 RC1L4B3 1R 8 000-00-0-0-001
9 RC1L6B1 1R 9 000-00-1-0-100
10 RC1L6B2 1R 10 000-00-0-0-000
11 RC1L6B3 1R 11 000-10-0-0-000
12 RC1L7B1 1R 12 000-01-1-0-000
13 RC1L7B2 1R 13 001-10-0-0-000
14 RC1L8B1 1R 14 011-01-1-0-000
15 RC1L8B2 1R 15 111-10-0-0-000
16 RC1L9B1 1R 16 110-01-1-0-001
17 RC2L1B1 2R 1 011-10-1-0-100
18 RC2L2B1 2R 2 111-01-1-0-000
19 RC2L2B2 2R 3 110-10-0-0-000
20 RC2L3B1 2R 4 100-01-1-0-000
21 RC2L3B2 2R 5 000-10-0-0-000
22 RC2L4B1 2R 6 000-01-1-0-000
23 RC2L4B2 2R 7 000-00-0-0-000
24 RC2L4B3 2R 8 000-00-0-0-000
25 RC2L4B4 2R 9 000-10-0-0-000
26 RC2L5B1 2R 10 000-01-1-1-000
27 RC2L5B2 2R 11 000-00-0-1-000
28 RC2L5B3 2R 12 000-00-0-1-000
29 RC2L5B4 2R 13 000-10-0-1-000
30 RC2L6B1 2R 14 000-01-1-0-000
31 RC2L6B2 2R 15 000-00-0-0-000
235 virtual 2R 16 000-00-0-0-000
236 virtual 8R 1 000-00-0-0-000
32 RC2L6B3 8R 2 000-00-1-0-000
33 RC2L6B4 8R 3 000-10-0-0-000
34 RC2L7B1 8R 4 000-01-1-0-000
35 RC2L7B2 8R 5 001-10-0-0-000
36 RC2L8B1 8R 6 011-01-1-0-000
37 RC2L8B2 8R 7 111-10-0-0-000
38 RC2L9B1 8R 8 110-01-1-0-001
39 RC3L1B1 3R 1 011-10-1-0-100
40 RC3L2B1 3R 2 111-01-1-0-000
41 RC3L2B2 3R 3 110-10-0-0-000
42 RC3L3B1 3R 4 100-01-1-0-000
43 RC3L3B2 3R 5 000-10-0-0-000
44 RC3L4B1 3R 6 000-01-1-0-000
45 RC3L4B2 3R 7 000-00-0-0-000
46 RC3L4B3 3R 8 000-00-0-0-000
47 RC3L4B4 3R 9 000-10-0-0-000
48 RC3L5B1 3R 10 000-01-1-0-000
49 RC3L5B2 3R 11 000-00-0-0-000
50 RC3L5B3 3R 12 000-00-0-0-000
51 RC3L5B4 3R 13 000-10-0-0-000
52 RC3L6B1 3R 14 000-01-1-0-000
53 RC3L6B2 3R 15 000-00-0-0-000
237 virtual 3R 16 000-00-0-0-000
238 virtual 8R 9 000-00-0-0-000
54 RC3L6B3 8R 10 000-00-1-0-000
55 RC3L6B4 8R 11 000-10-0-0-000
56 RC3L7B1 8R 12 000-01-1-0-000
57 RC3L7B2 8R 13 001-10-0-0-000
58 RC3L8B1 8R 14 011-01-1-0-000
59 RC3L8B2 8R 15 111-10-0-0-000
60 RC3L9B1 8R 16 110-01-1-0-001
61 RC4L1B1 4R 1 011-10-1-0-100
62 RC4L2B1 4R 2 111-01-1-0-000
63 RC4L2B2 4R 3 110-10-0-0-000
64 RC4L3B1 4R 4 100-01-1-0-000
65 RC4L3B2 4R 5 000-10-0-0-000
66 RC4L4B1 4R 6 000-01-1-0-000
67 RC4L4B2 4R 7 000-10-0-0-000
68 RC4L5B1 4R 8 000-01-1-0-000
69 RC4L5B2 4R 9 000-10-0-0-000
70 RC4L6B1 4R 10 000-01-1-0-000
71 RC4L6B2 4R 11 000-10-0-0-000
72 RC4L7B1 4R 12 000-01-1-0-000
73 RC4L7B2 4R 13 001-10-0-0-000
74 RC4L8B1 4R 14 011-01-0-0-000
75 RC4L8B2 4R 15 111-10-0-0-000
76 RC4L9B1 4R 16 110-01-1-0-001
77 RC5L1B1 5R 1 011-10-1-0-100
78 RC5L2B1 5R 2 111-01-1-0-000
79 RC5L2B2 5R 3 110-10-0-0-000
80 RC5L3B1 5R 4 100-01-1-0-000
81 RC5L3B2 5R 5 000-10-0-0-000
82 RC5L4B1 5R 6 000-01-1-0-000
83 RC5L4B2 5R 7 000-10-0-0-000
84 RC5L5B1 5R 8 000-01-1-0-000
85 RC5L5B2 5R 9 000-10-0-0-000
86 RC5L6B1 5R 10 000-01-1-0-000
87 RC5L6B2 5R 11 000-10-0-0-000
88 RC5L7B1 5R 12 000-01-1-0-000
89 RC5L7B2 5R 13 001-10-0-0-000
90 RC5L8B1 5R 14 011-01-1-0-000
91 RC5L8B2 5R 15 111-10-0-0-000
92 RC5L9B1 5R 16 110-01-1-0-001
93 RC6L1B1 6R 1 011-10-1-0-000
94 RC6L2B1 6R 2 111-01-1-0-000
95 RC6L2B2 6R 3 111-10-0-0-000
96 RC6L3B1 6R 4 111-01-1-0-000
97 RC6L3B2 6R 5 111-10-0-0-000
98 RC6L4B1 6R 6 111-01-1-0-000
99 RC6L4B2 6R 7 111-10-0-0-000
100 RC6L5B1 6R 8 111-01-1-0-000
101 RC6L5B2 6R 9 111-10-0-0-000
102 RC6L6B1 6R 10 111-01-1-0-000
103 RC6L6B2 6R 11 111-10-0-0-000
104 RC6L7B1 6R 12 111-01-1-0-000
105 RC6L7B2 6R 13 111-10-0-0-000
106 RC6L8B1 6R 14 111-01-1-0-000
107 RC6L8B2 6R 15 111-10-0-0-000
108 RC6L9B1 6R 16 110-01-1-0-001
109 RC7L1B1 7R 1 000-10-1-0-100
110 RC7L2B1 7R 2 000-11-1-0-000
111 RC7L3B1 7R 3 000-11-1-0-000
112 RC7L4B1 7R 4 000-11-1-0-000
113 RC7L5B1 7R 5 000-11-1-0-000
114 RC7L6B1 7R 6 000-11-1-0-000
115 RC7L7B1 7R 7 000-11-1-0-000
116 RC7L8B1 7R 8 000-11-1-0-000
117 RC7L9B1 7R 9 000-01-1-0-001
118 LC1L1B1 1L 1 011-10-1-0-100
119 LC1L2B1 1L 2 111-01-1-0-000
120 LC1L2B2 1l 3 110-10-0-0-000
121 LC1L3B1 1L 4 100-01-1-0-000
122 LC1L3B2 1L 5 000-10-0-0-000
123 LC1L4B1 1L 6 000-01-1-0-000
124 LC1L4B2 1L 7 000-00-0-0-000
125 LC1L4B3 1L 8 000-00-0-0-001
126 LC1L6B1 1L 9 000-00-1-0-100
127 LC1L6B2 1L 10 000-00-0-0-000
128 LC1L6B3 1L 11 000-10-0-0-000
129 LC1L7B1 1L 12 000-01-1-0-000
130 LC1L7B2 1L 13 001-10-0-0-000
131 LC1L8B1 1L 14 011-01-1-0-000
132 LC1L8B2 1L 15 111-10-0-0-000
133 LC1L9B1 1L 16 110-01-1-0-001
134 LC2L1B1 2L 1 011-10-1-0-100
135 LC2L2B1 2L 2 111-01-1-0-000
136 LC2L2B2 2L 3 110-10-0-0-000
137 LC2L3B1 2L 4 100-01-1-0-000
138 LC2L3B2 2L 5 000-10-0-0-000
139 LC2L4B1 2L 6 000-01-1-0-000
140 LC2L4B2 2L 7 000-00-0-0-000
141 LC2L4B3 2L 8 000-00-0-0-000
142 LC2L4B4 2L 9 000-10-0-0-000
143 LC2L5B1 2L 10 000-01-1-1-000
144 LC2L5B2 2L 11 000-00-0-1-000
145 LC2L5B3 2L 12 000-00-0-1-000
146 LC2L5B4 2L 13 000-10-0-1-000
147 LC2L6B1 2L 14 000-01-1-0-000
148 LC2L6B2 2L 15 000-00-0-0-000
239 virtual 2L 16 000-00-0-0-000
240 virtual 8L 1 000-00-0-0-000
149 LC2L6B3 8L 2 000-00-1-0-000
150 LC2L6B4 8L 3 000-10-0-0-000
151 LC2L7B1 8L 4 000-01-1-0-000
152 LC2L7B2 8L 5 001-10-0-0-000
153 LC2L8B1 8L 6 011-01-1-0-000
154 LC2L8B2 8L 7 111-10-0-0-000
155 LC2L9B1 8L 8 110-01-1-0-000
156 LC3L1B1 3L 1 011-10-1-0-000
157 LC3L2B1 3L 2 111-01-1-0-000
158 LC3L2B2 3L 3 110-10-0-0-000 
159 LC3L3B1 3L 4 100-01-1-0-000
160 LC3L3B2 3L 5 000-10-0-0-000
161 LC3L4B1 3L 6 000-01-1-0-000
162 LC3L4B2 3L 7 000-00-0-0-000
163 LC3L4B3 3L 8 000-00-0-0-000
164 LC3L4B4 3L 9 000-10-0-0-000
165 LC3L5B1 3L 10 000-01-0-0-000
166 LC3L5B2 3L 11 000-00-0-0-000
167 LC3L5B3 3L 12 000-00-0-0-000
168 LC3L5B4 3L 13 000-10-0-0-000
169 LC3L6B1 3L 14 000-01-1-0-000
170 LC3L6B2 3L 15 000-00-0-0-000
241 virtual 3L 16 000-00-0-0-000
242 virtual 8L 9 000-00-0-0-000
171 LC3L6B3 8L 10 000-00-1-0-000
172 LC3L6B4 8L 11 000-10-0-0-000
173 LC3L7B1 8L 12 000-01-1-0-000
174 LC3L7B2 8L 13 001-10-0-0-000
175 LC3L8B1 8L 14 011-01-1-0-000
176 LC3L8B2 8L 15 111-10-0-0-000
177 LC3L9B1 8L 16 110-01-1-0-001
178 LC4L1B1 4L 1 011-10-1-0-100
179 LC4L2B1 4L 2 111-01-1-0-000
180 LC4L2B2 4L 3 110-10-0-0-000
181 LC4L3B1 4L 4 100-01-1-0-000
182 LC4L3B2 4L 5 000-10-0-0-000
183 LC4L4B1 4L 6 000-01-1-0-000
184 LC4L4B2 4L 7 000-10-0-0-000
185 LC4L5B1 4L 8 000-01-1-0-000
186 LC4L5B2 4L 9 000-10-0-0-000
187 LC4L6B1 4L 10 000-01-1-0-000
188 LC4L6B2 4L 11 000-10-0-0-000
189 LC4L7B1 4L 12 000-01-1-0-000
190 LC4L7B2 4L 13 001-10-0-0-000
191 LC4L8B1 4L 14 011-01-1-0-000
192 LC4L8B2 4L 15 111-10-0-0-000
193 LC4L9B1 4L 16 110-01-1-0-001
194 LC5L1B1 5L 1 011-10-1-0-100
195 LC5L2B1 5L 2 111-01-1-0-000
196 LC5L2B2 5L 3 110-10-0-0-000
197 LC5L3B1 5L 4 110-01-1-0-000
198 LC5L3B2 5L 5 000-10-0-0-000
199 LC5L4B1 5L 6 000-01-1-0-000
200 LC5L4B2 5L 7 000-10-0-0-000
201 LC5L5B1 5L 8 000-01-1-0-000
202 LC5L5B2 5L 9 000-10-0-0-000
203 LC5L6B1 5L 10 000-01-1-0-000
204 LC5L6B2 5L 11 000-10-0-0-000
205 LC5L7B1 5L 12 000-01-1-0-000
206 LC5L7B2 5L 13 001-10-0-0-000
207 LC5L8B1 5L 14 011-01-1-0-000
208 LC5L8B2 5L 15 111-10-0-0-000
209 LC5L9B1 5L 16 110-01-1-0-001
210 LC6L1B1 6L 1 011-10-1-0-100
211 LC6L2B1 6L 2 111-01-1-0-000
212 LC6L2B2 6L 3 111-10-0-0-000
213 LC6L3B1 6L 4 111-01-1-0-000
214 LC6L3B2 6L 5 111-10-0-0-000
215 LC6L4B1 6L 6 111-01-1-0-000
216 LC6L4B2 6L 7 111-10-0-0-000
217 LC6L5B1 6L 8 111-01-1-0-000
218 LC6L5B2 6L 9 111-10-0-0-000
219 LC6L6B1 6L 10 111-01-1-0-000
220 LC6L6B2 6L 11 111-10-0-0-000
221 LC6L7B1 6L 12 111-01-1-0-000
222 LC6L7B2 6L 13 111-10-0-0-000
223 LC6L8B1 6L 14 111-01-1-0-000
224 LC6L8B2 6L 15 111-10-0-0-000
225 LC6L9B1 6L 16 110-01-1-0-001
226 LC7L1B1 7L 1 000-10-1-0-100
227 LC7L2B1 7L 2 000-11-1-0-000
228 LC7L3B1 7L 3 000-11-1-0-000
229 LC7L4B1 7L 4 000-11-1-0-000
230 LC7L5B1 7L 5 000-11-1-0-000
231 LC7L6B1 7L 6 000-11-1-0-000
232 LC7L7B1 7L 7 000-11-1-0-000
233 LC7L8B1 7L 8 000-11-1-0-000
234 LC7L9B1 7L 9 000-01-1-0-001
