# Id serial (old Id)
  1 nbp 11380 1125
  2 nbp 11284 1126
  3  bp 11250 102
  4  bp 11363 101
  5 nbp 11256 1127
  6 nbp 11257 1128
  7  bp 11281 104
  8  bp 11260 103
  9 nbp 11283 1129
 10 nbp 11278 1130
 11  bp 11277 106
 12  bp 11272 105
101  bp 11379 201
102  bp 11261 202
103  bp 11391 203
104 nbp 10051 1226
105 nbp 11273 1225
106  bp 11288 204
107  bp 11249 205
108  bp 11287 206
109 nbp 11258 1228
110 nbp 10161 1227
111  bp 11382 207
112  bp 11254 208
113  bp 11259 209
114 nbp 11275 1230
115 nbp 11286 1229
