,phs_col:phs_col_dp.State_phos_module_3.Matrix_t_phos_module_3.Matrix_t_phos_module_3_0,phs_col:phs_col_dp.State_phos_module_3.Matrix_t_phos_module_3.Matrix_t_phos_module_3_16,
,Matrix_temperature_module_3_0,Matrix_temperature_module_3_16,
2012/03/24 06:04:22.369,-26.891101553681,,
2012/03/24 06:34:55.920,,-21.520877804537,
2012/03/24 06:55:41.474,-26.790501702036,,
2012/03/24 07:34:58.709,,-21.514749214861,
2012/03/24 07:47:08.017,-26.891101628315,,
2012/03/24 08:35:05.983,,-21.510547829068,
2012/03/24 08:47:08.181,-26.835944407629,,
2012/03/24 09:35:23.975,,-21.51047783663,
2012/03/24 09:47:09.221,-26.894817546492,,
2012/03/24 10:35:33.108,,-21.50278695677,
2012/03/24 10:47:43.291,-26.841440212869,,
2012/03/24 11:35:33.929,,-21.502953514925,
2012/03/24 11:47:45.424,-26.89489875701,,
2012/03/24 12:35:34.312,,-21.50223143457,
2012/03/24 12:47:52.808,-26.866292649847,,
2012/03/24 13:35:43.992,,-21.510504401476,
2012/03/24 13:47:55.064,-26.895265279658,,
2012/03/24 14:35:48.359,,-21.507017443134,
2012/03/24 14:48:01.823,-26.853866456032,,
2012/03/24 15:35:53.664,,-21.507010204956,
2012/03/24 15:48:21.784,-26.882947354006,,
2012/03/24 16:35:58.532,,-21.51051887734,
2012/03/24 16:48:22.167,-26.861681367459,,
2012/03/24 17:36:04.821,,-21.510526115272,
2012/03/24 17:48:30.535,-26.93211366305,,
2012/03/24 18:36:10.782,,-21.507031919488,
2012/03/24 18:43:18.655,-26.82903532123,,
2012/03/24 19:36:19.587,,-21.51470532533,
2012/03/24 19:43:24.506,-26.919707102074,,
2012/03/24 20:36:29.486,,-21.515319159824,
2012/03/24 20:43:30.249,-26.898997444578,,
2012/03/24 21:08:11.177,-26.795898530196,,
2012/03/24 21:36:47.260,,-21.519123828818,
2012/03/24 22:02:11.609,-26.898954184261,,
2012/03/24 22:36:47.752,,-21.507031919488,
2012/03/24 23:02:38.439,-26.812409555102,,
2012/03/24 23:36:47.882,,-21.522949308812,
2012/03/24 23:42:14.583,-26.915968398007,,
2012/03/25 00:36:56.469,,-21.515305145517,
2012/03/25 00:42:18.248,-26.920138919584,,
2012/03/25 01:18:23.531,-26.813219102444,,
2012/03/25 01:36:56.742,,-21.515305145517,
2012/03/25 03:18:32.883,-26.87052030587,,
2012/03/25 03:18:59.734,-26.836491240683,,
2012/03/25 03:37:08.391,,-21.514662359789,
2012/03/25 03:37:14.243,,-21.514618932252,
2012/03/25 05:19:00.774,-26.875535435449,,
2012/03/25 05:37:15.720,,-21.504974351454,
2012/03/25 06:19:27.298,-26.856723875419,,
2012/03/25 06:37:16.103,,-21.50497458246,
2012/03/25 07:19:27.353,-26.907741780156,,
2012/03/25 07:37:17.143,,-21.506988952436,
2012/03/25 08:19:32.986,-26.857577718496,,
2012/03/25 08:37:37.760,,-21.522978260429,
2012/03/25 09:19:36.913,-26.930908972818,,
2012/03/25 09:37:43.437,,-21.510634684251,
2012/03/25 09:59:40.085,-26.829025886434,,
2012/03/25 10:37:47.320,,-21.514662359789,
2012/03/25 10:40:50.741,-26.932132830812,,
2012/03/25 11:38:08.704,,-21.502899203097,
2012/03/25 11:40:56.921,-26.903570935249,,
2012/03/25 12:36:16.650,-26.800914717759,,
2012/03/25 12:38:30.087,,-21.514662359789,
2012/03/25 13:02:26.171,-26.907712939553,,
2012/03/25 13:38:39.220,,-21.502884672289,
2012/03/25 14:02:31.476,-26.866307070339,,
2012/03/25 14:38:47.587,,-21.502888137378,
2012/03/25 15:02:32.844,-26.887829564527,,
2012/03/25 15:38:48.189,,-21.499390102998,
2012/03/25 16:02:58.383,-26.88286083151,,
2012/03/25 16:38:48.354,,-21.510807780504,
2012/03/25 17:03:04.235,-26.882932754636,,
2012/03/25 17:38:48.628,,-21.510547829068,
2012/03/25 18:03:09.517,-26.820729697916,,
2012/03/25 18:39:04.275,,-21.510504401476,
2012/03/25 19:03:45.422,-26.899008259657,,
2012/03/25 19:39:06.955,,-21.510464554204,
2012/03/25 20:03:50.399,-26.833156023341,,
2012/03/25 20:39:24.729,,-21.510807356591,
2012/03/25 21:03:54.391,-26.920120740871,,
2012/03/25 21:39:34.518,,-21.502913664974,
2012/03/25 22:04:00.900,-26.833156023341,,
2012/03/25 22:39:43.433,,-21.510547829068,
2012/03/25 23:04:06.642,-26.928466139489,,
2012/03/25 23:39:46.222,,-21.514640877018,
2012/03/26 00:01:09.839,-26.82076608682,,
2012/03/26 00:39:52.293,,-21.502917244128,
2012/03/26 00:43:40.557,-26.922625248515,,
2012/03/26 01:39:53.114,,-21.51464064602,
2012/03/26 01:43:47.284,-26.928422878871,,
2012/03/26 02:03:46.354,-26.824549236011,,
2012/03/26 02:40:11.215,,-21.510464554205,
2012/03/26 03:04:00.628,-26.895286910197,,
2012/03/26 03:40:25.004,,-21.510504401476,
2012/03/26 04:04:05.994,-26.833156023341,,
2012/03/26 04:40:29.324,,-21.50223143457,
2012/03/26 05:01:58.738,-26.93623146963,,
2012/03/26 05:40:37.692,,-21.502188468864,
2012/03/26 06:02:01.418,-26.85800852612,,
2012/03/26 06:40:38.622,,-21.50278695677,
2012/03/26 07:02:06.723,-26.921002596898,,
2012/03/26 07:40:48.192,,-21.510524113153,
2012/03/26 08:02:09.075,-26.868170724325,,
2012/03/26 08:40:54.373,-26.969397755817,-21.502873815009,
2012/03/26 09:07:42.393,-26.858138310894,,
2012/03/26 09:40:57.162,,-21.507195402044,
2012/03/26 10:07:42.449,-26.833263717945,,
2012/03/26 10:40:57.545,,-21.506393603377,
2012/03/26 10:45:02.981,-26.934438973323,,
2012/03/26 11:41:15.647,,-21.502856443361,
2012/03/26 11:45:03.911,-26.932650450979,,
2012/03/26 12:41:42.980,,-21.51429079005,
2012/03/26 12:45:04.667,-26.895286910197,,
2012/03/26 13:41:43.035,,-21.502122219031,
2012/03/26 13:45:10.847,-26.87052030587,,
2012/03/26 14:41:58.137,,-21.502188468864,
2012/03/26 14:45:40.136,-26.951924570021,,
2012/03/26 15:42:01.224,,-21.503712828074,
2012/03/26 15:45:53.535,-26.858138310895,,
2012/03/26 16:42:01.997,,-21.50214504116,
2012/03/26 16:43:41.856,-26.965181347571,,
2012/03/26 17:42:02.162,,-21.502108771254,
2012/03/26 17:43:47.927,-26.965700424444,,
2012/03/26 18:07:17.433,-26.858030156916,,
2012/03/26 18:42:02.654,,-21.494514160832,
2012/03/26 19:07:17.598,-26.916018562116,,
2012/03/26 19:42:43.069,,-21.510504401476,
2012/03/26 20:07:26.840,-26.870413072776,,
2012/03/26 20:42:48.374,,-21.494535894732,
2012/03/26 21:07:33.567,-26.895286910197,,
2012/03/26 21:43:06.428,,-21.494514160832,
2012/03/26 22:07:35.871,-26.841459595374,,
2012/03/26 22:43:44.873,,-21.502188468864,
2012/03/26 23:07:44.567,-26.895310841856,,
2012/03/26 23:43:51.162,,-21.502743527649,
2012/03/27 00:07:45.169,-26.853793739642,,
2012/03/27 00:43:54.389,,-21.502145503157,
2012/03/27 01:07:53.864,-26.920124652746,,
2012/03/27 01:43:57.726,,-21.498030494565,
2012/03/27 02:08:11.966,-26.84145313454,,
2012/03/27 02:45:13.140,,-21.501502554896,
2012/03/27 03:08:21.756,-26.866421053592,,
2012/03/27 03:45:31.241,,-21.489727813672,
2012/03/27 04:08:30.342,-26.874102874271,,
2012/03/27 04:45:41.140,,-21.489714529979,
2012/03/27 05:08:30.397,-26.88239745998,,
2012/03/27 05:45:49.070,,-21.477968196973,
2012/03/27 06:08:30.671,-26.832761517299,,
2012/03/27 06:46:19.031,,-21.489714529979,
2012/03/27 07:04:45.678,-26.936220884785,,
2012/03/27 07:46:22.255,,-21.477326475206,
2012/03/27 08:02:22.124,-26.834992469421,,
2012/03/27 08:46:25.701,,-21.481143081115,
2012/03/27 09:02:42.742,-26.919664302256,,
2012/03/27 09:46:25.866,,-21.48114215713,
2012/03/27 10:02:58.328,-26.842690308701,,
2012/03/27 10:46:33.686,,-21.489584246364,
2012/03/27 11:03:16.539,-26.939595154778,,
2012/03/27 11:46:35.491,,-21.477280396496,
2012/03/27 12:03:25.454,-26.870506499034,,
2012/03/27 12:46:44.406,,-21.489285222638,
2012/03/27 13:03:26.274,-26.949046314072,,
2012/03/27 13:46:53.976,,-21.485516687841,
2012/03/27 13:59:50.753,-26.838201908022,,
2012/03/27 14:46:54.141,,-21.485476835976,
2012/03/27 14:48:53.468,-26.943650851376,,
2012/03/27 15:47:03.372,,-21.469637740361,
2012/03/27 15:48:57.228,-26.882429619927,,
2012/03/27 16:47:03.418,,-21.493519137394,
2012/03/27 16:49:38.948,-26.903588883946,,
2012/03/27 17:47:03.473,,-21.489393790547,
2012/03/27 17:49:39.550,-26.902190735574,,
2012/03/27 18:47:13.263,,-21.477968505671,
2012/03/27 18:50:11.433,-26.886643498169,,
2012/03/27 19:47:22.396,,-21.485578253656,
2012/03/27 19:50:16.629,-26.861719715774,,
2012/03/27 20:47:30.654,,-21.493511976542,
2012/03/27 20:50:33.965,-26.899036198383,,
2012/03/27 21:47:37.709,,-21.489678494086,
2012/03/27 21:50:43.098,-26.841353689225,,
2012/03/27 22:48:45.248,,-21.493529994171,
2012/03/27 22:50:47.419,-26.893992711768,,
2012/03/27 23:49:28.397,,-21.486834971095,
2012/03/27 23:50:51.958,-26.881528483244,,
2012/03/28 00:49:28.530,,-21.485599967619,
2012/03/28 00:50:57.995,-26.857577718496,,
2012/03/28 01:38:35.494,-26.960261066964,,
2012/03/28 01:49:32.724,,-21.485556539693,
2012/03/28 01:50:07.505,-26.857620830886,,
2012/03/28 02:49:37.701,,-21.49124870132,
2012/03/28 02:50:25.716,-26.88985089299,,
2012/03/28 03:49:38.194,,-21.493486567064,
2012/03/28 03:50:26.100,-26.861797237058,,
2012/03/28 04:49:51.046,,-21.489692816044,
2012/03/28 04:50:43.873,-26.890243456279,,
2012/03/28 05:49:56.679,,-21.489415042137,
2012/03/28 05:50:57.819,-26.857577718496,,
2012/03/28 06:49:57.171,,-21.49350135076,
2012/03/28 06:51:02.358,-26.874145674712,,
2012/03/28 07:49:57.226,,-21.487444398949,
2012/03/28 07:51:20.679,-26.847026562263,,
2012/03/28 08:50:11.719,,-21.493529994171,
2012/03/28 08:51:28.062,-26.886643378313,,
2012/03/28 09:50:15.389,,-21.488665545444,
2012/03/28 09:51:29.754,-26.84007111337,,
2012/03/28 10:50:15.826,,-21.485589667132,
2012/03/28 10:51:30.419,-26.874223191433,,
2012/03/28 11:50:25.178,,-21.487482538132,
2012/03/28 11:51:39.552,-26.899828612025,,
2012/03/28 12:50:25.780,,-21.496915911342,
2012/03/28 12:51:58.420,-26.867917671202,,
2012/03/28 13:50:26.054,,-21.477391365889,
2012/03/28 13:51:58.694,-26.87006102396,,
2012/03/28 14:50:35.187,,-21.485469683839,
2012/03/28 14:52:06.733,-26.879727974973,,
2012/03/28 15:50:43.882,,-21.477946790944,
2012/03/28 15:52:07.226,-26.863154065671,,
2012/03/28 16:50:56.844,,-21.489714529979,
2012/03/28 16:52:25.437,-26.880098468979,,
2012/03/28 17:51:11.227,,-21.500587337205,
2012/03/28 17:52:25.601,-26.857655241301,,
2012/03/28 18:51:11.499,,-21.489801385719,
2012/03/28 18:52:25.739,-26.865408416448,,
2012/03/28 19:51:21.023,,-21.489757957849,
2012/03/28 19:52:26.101,-26.861751878866,,
2012/03/28 20:51:30.047,,-21.4977313331,
2012/03/28 20:52:26.265,-26.857492117161,,
2012/03/28 21:52:06.524,,-21.502068531724,
2012/03/28 21:52:27.086,-26.8939494528,,
2012/03/28 22:35:38.929,-26.793397690327,,
2012/03/28 22:48:14.377,-26.893949913002,,
2012/03/28 22:52:11.610,,-21.505982000345,
2012/03/28 23:48:24.057,-26.846197548147,,
2012/03/28 23:52:15.274,,-21.498053598825,
2012/03/29 00:49:17.596,-26.894877126824,,
2012/03/29 00:52:15.658,,-21.50598223134,
2012/03/29 01:49:22.683,-26.861719715774,,
2012/03/29 01:52:26.213,,-21.502166755012,
2012/03/29 02:49:27.331,-26.900440547381,,
2012/03/29 02:52:33.705,,-21.505963866371,
