 # Tue Oct 27 14:26:24 2009
 # MSTW 2008 LO PDF grid for central fit.
 # distance(t),tolerance(T) =   0.  0.
 # mCharm = 1.43
 # mBottom = 4.30
 # alphaS(1GeV) = 0.40768
 # alphaS(MZ) = 0.11517
 # alphaSorder,alphaSnfmax = 0, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  1.2042E+01  1.3018E+00  1.3129E+00  6.4816E-01  0.0000E+00  0.0000E+00  5.5017E-03  1.6579E-02  0.0000E+00
  1.8147E+01  1.3513E+00  1.3625E+00  7.0214E-01 -2.4286E-17 -2.4286E-17  5.5603E-03  1.6674E-02  0.0000E+00
  2.3965E+01  1.4062E+00  1.4173E+00  7.6048E-01 -1.2924E-16 -1.2924E-16  5.6072E-03  1.6750E-02 -2.2204E-16
  3.5512E+01  1.5303E+00  1.5415E+00  8.9026E-01 -5.5077E-16 -5.5077E-16  5.6849E-03  1.6875E-02 -1.1102E-15
  3.5512E+01  1.5303E+00  1.5415E+00  8.9026E-01  2.9995E-07 -5.5077E-16  5.6849E-03  1.6875E-02 -1.1102E-15
  4.3963E+01  1.6321E+00  1.6433E+00  9.9556E-01  1.1216E-01 -9.9920E-16  5.7339E-03  1.6953E-02 -1.9984E-15
  5.5485E+01  1.7807E+00  1.7920E+00  1.1483E+00  2.7052E-01 -1.8683E-15  5.7925E-03  1.7046E-02 -3.5527E-15
  6.6944E+01  1.9377E+00  1.9490E+00  1.3088E+00  4.3588E-01 -3.0826E-15  5.8440E-03  1.7127E-02 -6.2172E-15
  7.9360E+01  2.1163E+00  2.1276E+00  1.4908E+00  6.2249E-01 -4.7479E-15  5.8942E-03  1.7206E-02 -9.3259E-15
  9.4166E+01  2.3391E+00  2.3504E+00  1.7171E+00  8.5371E-01 -7.1046E-15  5.9482E-03  1.7290E-02 -1.4211E-14
  1.0848E+02  2.5631E+00  2.5745E+00  1.9442E+00  1.0850E+00 -9.5540E-15  5.9955E-03  1.7364E-02 -1.9096E-14
  1.2364E+02  2.8086E+00  2.8200E+00  2.1927E+00  1.3374E+00 -1.2051E-14  6.0417E-03  1.7435E-02 -2.3981E-14
  1.3664E+02  3.0251E+00  3.0365E+00  2.4114E+00  1.5594E+00 -1.4178E-14  6.0785E-03  1.7492E-02 -2.8422E-14
  1.6953E+02  3.5945E+00  3.6060E+00  2.9860E+00  2.1410E+00 -1.9950E-14  6.1630E-03  1.7621E-02 -3.9968E-14
  1.6953E+02  3.5945E+00  3.6060E+00  2.9860E+00  2.1410E+00  9.6515E-08  6.1630E-03  1.7621E-02 -3.9968E-14
  1.9671E+02  4.0968E+00  4.1083E+00  3.4920E+00  2.6522E+00  5.3702E-01  6.2266E-03  1.7717E-02 -5.1514E-14
  2.3345E+02  4.8000E+00  4.8115E+00  4.1997E+00  3.3660E+00  1.2688E+00  6.3040E-03  1.7833E-02 -7.6383E-14
  2.7631E+02  5.6516E+00  5.6631E+00  5.0557E+00  4.2282E+00  2.1492E+00  6.3848E-03  1.7954E-02 -1.1191E-13
  3.1950E+02  6.5393E+00  6.5509E+00  5.9474E+00  5.1254E+00  3.0625E+00  6.4584E-03  1.8063E-02 -1.4744E-13
  3.6740E+02  7.5548E+00  7.5664E+00  6.9668E+00  6.1502E+00  4.1031E+00  6.5329E-03  1.8172E-02 -1.8652E-13
  4.1058E+02  8.4952E+00  8.5068E+00  7.9104E+00  7.0982E+00  5.0640E+00  6.5949E-03  1.8263E-02 -2.2204E-13
  4.6722E+02  9.7614E+00  9.7731E+00  9.1804E+00  8.3734E+00  6.3545E+00  6.6705E-03  1.8372E-02 -2.6290E-13
  5.2139E+02  1.1004E+01  1.1016E+01  1.0426E+01  9.6236E+00  7.6181E+00  6.7376E-03  1.8469E-02 -2.9843E-13
  5.7451E+02  1.2249E+01  1.2261E+01  1.1675E+01  1.0876E+01  8.8826E+00  6.7994E-03  1.8558E-02 -3.3396E-13
  6.4673E+02  1.3982E+01  1.3994E+01  1.3411E+01  1.2618E+01  1.0640E+01  6.8781E-03  1.8671E-02 -3.8014E-13
  7.1974E+02  1.5778E+01  1.5789E+01  1.5210E+01  1.4421E+01  1.2457E+01  6.9525E-03  1.8777E-02 -4.2277E-13
  7.9269E+02  1.7611E+01  1.7623E+01  1.7046E+01  1.6262E+01  1.4310E+01  7.0226E-03  1.8876E-02 -4.6896E-13
  8.7015E+02  1.9598E+01  1.9609E+01  1.9036E+01  1.8256E+01  1.6317E+01  7.0931E-03  1.8975E-02 -5.1159E-13
  9.5039E+02  2.1696E+01  2.1708E+01  2.1138E+01  2.0362E+01  1.8435E+01  7.1624E-03  1.9073E-02 -5.6133E-13
  1.0305E+03  2.3830E+01  2.3842E+01  2.3275E+01  2.2503E+01  2.0587E+01  7.2283E-03  1.9165E-02 -6.1817E-13
  1.1097E+03  2.5976E+01  2.5988E+01  2.5423E+01  2.4655E+01  2.2749E+01  7.2907E-03  1.9252E-02 -6.6791E-13
  1.1930E+03  2.8269E+01  2.8281E+01  2.7718E+01  2.6954E+01  2.5058E+01  7.3537E-03  1.9339E-02 -7.2475E-13
  1.2786E+03  3.0661E+01  3.0673E+01  3.0113E+01  2.9352E+01  2.7467E+01  7.4160E-03  1.9426E-02 -7.8870E-13
  1.3634E+03  3.3066E+01  3.3078E+01  3.2521E+01  3.1763E+01  2.9887E+01  7.4756E-03  1.9507E-02 -8.5265E-13
  1.4467E+03  3.5462E+01  3.5474E+01  3.4919E+01  3.4164E+01  3.2297E+01  7.5323E-03  1.9585E-02 -9.0949E-13
  1.5338E+03  3.8000E+01  3.8012E+01  3.7459E+01  3.6707E+01  3.4849E+01  7.5895E-03  1.9664E-02 -9.8055E-13
  1.6229E+03  4.0628E+01  4.0640E+01  4.0089E+01  3.9340E+01  3.7491E+01  7.6461E-03  1.9741E-02 -1.0658E-12
