# Pion-kaon partial-wave data, analysis of Estabrooks et. al.
#  Nucl. Phys. B133 (1978) 490-524
# Notation for column headers is L,2I
# Entries in each column are S_n = (1 - eta^2) and delta_L

set eType   Wcm
set eUnit   GeV
set input   Sn,delta
set dUnit   deg

# Isospin 3/2 elastic
Wcm   0,3        1,3       2,3
0.73  0.0 -10.0  0.0  0.0  0.0  0.0
0.82  0.0 -14.5  0.0  0.0  0.0  0.0
0.90  0.0 -16.5  0.0  0.0  0.0  0.0
0.94  0.0 -17.0  0.0  0.0  0.0  0.0
0.98  0.0 -18.0  0.0  0.0  0.0  0.0
1.02  0.0 -18.5  0.0 -0.8  0.0 -0.7
1.06  0.0 -18.2  0.0 -0.2  0.0 -0.6
1.10  0.0 -21.4  0.0 -0.9  0.0 -1.3
1.14  0.0 -21.1  0.0 -1.1  0.0 -1.2
1.18  0.0 -22.4  0.0 -0.6  0.0 -1.3
1.22  0.0 -23.5  0.0 -0.6  0.0 -1.5
1.26  0.0 -23.9  0.0 -0.6  0.0 -1.3
1.30  0.0 -23.8  0.0 -0.1  0.0 -1.7
1.34  0.0 -26.4  0.0 -0.7  0.0 -2.5
1.38  0.0 -25.0  0.0 -0.3  0.0 -1.5
1.44  0.0 -27.4  0.0 -1.2  0.0 -2.3
1.52  0.0 -26.7  0.0 -2.4  0.0 -1.5
1.60  0.0 -25.6  0.0 -2.1  0.0 -1.4
1.72  0.0 -22.8  0.0 -2.4  0.0 -0.5

# Isospin 1/2 elastic
Wcm    0,1       1,1        2,1       3,1
0.730  0.0 21.0  0.0 6.0    0.0 0.0   0.0 0.0
0.780  0.0 27.2  0.0 10.0   0.0 0.0   0.0 0.0
0.820  0.0 40.7  0.0 14.0   0.0 0.0   0.0 0.0
0.845  0.0 36.8  0.0 23.9   0.0 0.0   0.0 0.0
0.855  0.0 40.4  0.0 28.3   0.0 0.0   0.0 0.0
0.865  0.0 38.0  0.0 39.5   0.0 0.0   0.0 0.0
0.875  0.0 38.1  0.0 49.6   0.0 0.0   0.0 0.0
0.885  0.0 39.1  0.0 70.6   0.0 0.0   0.0 0.0
0.895  0.0 39.6  0.0 96.2   0.0 0.0   0.0 0.0
0.905  0.0 34.7  0.0 108.3  0.0 0.0   0.0 0.0
0.915  0.0 33.5  0.0 122.4  0.0 0.0   0.0 0.0
0.925  0.0 37.2  0.0 134.6  0.0 0.0   0.0 0.0
0.935  0.0 40.9  0.0 140.4  0.0 0.0   0.0 0.0
0.945  0.0 42.8  0.0 147.4  0.0 0.0   0.0 0.0
0.955  0.0 46.9  0.0 150.9  0.0 0.0   0.0 0.0
0.980  0.0 48.4  0.0 157.0  0.0 0.0   0.0 0.0
1.020  0.0 53.9  0.0 162.9  0.0 0.0   0.0 0.0
1.060  0.0 57.8  0.0 165.2  0.0 0.0   0.0 0.0
1.100  0.0 60.2  0.0 167.5  0.0 0.0   0.0 0.0
#1.140  0.0 61.2  0.0 168.5  0.0 0.0   0.0 0.0
#1.180  0.0 66.3  0.0 173.0  0.0 0.0   0.0 0.0
#1.220  0.0 69.3  0.0 170.8  0.0 0.0   0.0 0.0
#1.260  0.0 71.7  0.0 166.7  0.0 0.0   0.0 0.0
#1.300  0.0 79.3  0.0 176.3  0.0 0.0   0.0 0.0

# Inelastic region data. Scattering amplitude:
#  a_J = |a_J| exp(i phi_L)
# and column entries |a_J| and phi_J.

set input mod,phi

# Isospin 1/2 inelastic
Wcm   0,1        1,1        2,1        3,1
1.14  0.87 73.   0.35 169.  0.01 0.    0.00 0.
1.18  0.93 78.   0.21 173.  0.09 5.    0.00 0.
1.22  0.96 81.   0.28 171.  0.04 2.    0.00 0.
1.26  0.98 83.   0.40 157.  0.01 1.    0.00 0.
1.30  1.01 99.   0.13 157.  0.35 14.   0.00 0.
1.34  1.05 104.  0.20 164.  0.40 22.   0.00 0.
1.38  1.06 109.  0.19 154.  0.75 39.   0.00 0.
1.42  1.00 126.  0.20 163.  1.02 74.   0.00 0. 
1.46  0.84 142.  0.21 169.  1.02 115.  0.00 0.
# Solution A
1.50  0.52 146.  0.30 209.  0.71 138.  0.08 8.
1.56  0.40 164.  0.32 222.  0.58 152.  0.12 34.
1.65  0.33 143.  0.22 177.  0.48 135.  0.29 30.
1.75  0.39 131.  0.23 160.  0.44 148.  0.43 70.
1.85  0.48 153.  0.28 189.  0.48 183.  0.43 127.
## Solution B
##1.50  0.63 161.  0.16 103.  0.58 138.  0.09 9.
##1.56  0.56 183.  0.22 114.  0.50 152.  0.11 26.
##1.65  0.27 190.  0.50 111.  0.30 141.  0.28 30.
##1.75  0.14 97.   0.53 144.  0.23 138.  0.43 70.
##1.85  0.36 122.  0.52 187.  0.33 165.  0.43 127.
## Solution C
##1.50  0.64 114.  0.17 75.   0.67 138.  0.09 7.
##1.56  0.59 122.  0.20 83.   0.48 152.  0.12 29.
##1.65  0.55 117.  0.20 98.   0.31 141.  0.28 30.
##1.75  0.56 127.  0.23 119.  0.29 139.  0.41 70.
##1.85  0.61 152.  0.30 115.  0.29 149.  0.43 127.
## Solution D
##1.50  0.45 127.  0.49 58.   0.64 138.  0.08 2.
##1.56  0.24 121.  0.60 70.   0.42 152.  0.11 17.
##1.65  0.23 92.   0.55 99.   0.12 174.  0.31 30.
##1.75  0.38 91.   0.51 132.  0.13 90.   0.42 70.
##1.85  0.58 123.  0.36 159.  0.27 113.  0.42 127.
