 # Fri Oct 16 11:59:45 2009
 # MSTW 2008 LO PDF grid for central fit.
 # distance(t),tolerance(T) =   0.  0.
 # mCharm = 1.43
 # mBottom = 4.30
 # alphaS(1GeV) = 0.49337
 # alphaS(MZ) = 0.12032
 # alphaSorder,alphaSnfmax = 0, 5
 # nExtraFlavours = 0
 
          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  8.0090E+00  1.3182E+00  1.3280E+00  6.5619E-01  0.0000E+00  0.0000E+00  5.8017E-03  1.5621E-02  0.0000E+00
  1.3658E+01  1.3573E+00  1.3671E+00  7.0073E-01  0.0000E+00  0.0000E+00  5.8891E-03  1.5771E-02  0.0000E+00
  1.9234E+01  1.4059E+00  1.4159E+00  7.5351E-01  0.0000E+00  0.0000E+00  5.9561E-03  1.5886E-02  0.0000E+00
  3.0629E+01  1.5247E+00  1.5347E+00  8.7863E-01  0.0000E+00  0.0000E+00  6.0622E-03  1.6067E-02  0.0000E+00
  3.0629E+01  1.5247E+00  1.5347E+00  8.7863E-01  2.9834E-07  0.0000E+00  6.0622E-03  1.6067E-02  0.0000E+00
  3.9149E+01  1.6266E+00  1.6367E+00  9.8425E-01  1.1276E-01  0.0000E+00  6.1268E-03  1.6176E-02  0.0000E+00
  5.0924E+01  1.7791E+00  1.7892E+00  1.1411E+00  2.7542E-01  0.0000E+00  6.2025E-03  1.6304E-02  0.0000E+00
  6.2763E+01  1.9433E+00  1.9534E+00  1.3088E+00  4.4809E-01  0.0000E+00  6.2677E-03  1.6414E-02  0.0000E+00
  7.5692E+01  2.1324E+00  2.1426E+00  1.5014E+00  6.4529E-01  0.0000E+00  6.3304E-03  1.6519E-02  0.0000E+00
  9.1208E+01  2.3706E+00  2.3809E+00  1.7432E+00  8.9197E-01  0.0000E+00  6.3969E-03  1.6629E-02  0.0000E+00
  1.0628E+02  2.6120E+00  2.6223E+00  1.9876E+00  1.1405E+00  0.0000E+00  6.4548E-03  1.6726E-02  0.0000E+00
  1.2231E+02  2.8780E+00  2.8883E+00  2.2565E+00  1.4134E+00  0.0000E+00  6.5107E-03  1.6818E-02  0.0000E+00
  1.3608E+02  3.1134E+00  3.1237E+00  2.4942E+00  1.6541E+00  0.0000E+00  6.5550E-03  1.6891E-02  0.0000E+00
  1.7103E+02  3.7353E+00  3.7457E+00  3.1211E+00  2.2880E+00  0.0000E+00  6.6557E-03  1.7057E-02  0.0000E+00
  1.7103E+02  3.7353E+00  3.7457E+00  3.1211E+00  2.2880E+00  1.0546E-07  6.6557E-03  1.7057E-02  0.0000E+00
  1.9998E+02  4.2859E+00  4.2963E+00  3.6754E+00  2.8473E+00  5.8758E-01  6.7312E-03  1.7181E-02  0.0000E+00
  2.3918E+02  5.0584E+00  5.0689E+00  4.4523E+00  3.6302E+00  1.3903E+00  6.8229E-03  1.7330E-02  0.0000E+00
  2.8497E+02  5.9952E+00  6.0057E+00  5.3936E+00  4.5776E+00  2.3578E+00  6.9184E-03  1.7486E-02  0.0000E+00
  3.3113E+02  6.9724E+00  6.9830E+00  6.3748E+00  5.5642E+00  3.3624E+00  7.0052E-03  1.7626E-02  0.0000E+00
  3.8234E+02  8.0904E+00  8.1010E+00  7.4967E+00  6.6915E+00  4.5073E+00  7.0929E-03  1.7767E-02  0.0000E+00
  4.2849E+02  9.1253E+00  9.1360E+00  8.5348E+00  7.7340E+00  5.5642E+00  7.1659E-03  1.7884E-02  0.0000E+00
  4.8901E+02  1.0518E+01  1.0529E+01  9.9311E+00  9.1355E+00  6.9830E+00  7.2544E-03  1.8026E-02  0.0000E+00
  5.4684E+02  1.1883E+01  1.1894E+01  1.1299E+01  1.0508E+01  8.3709E+00  7.3330E-03  1.8151E-02  0.0000E+00
  6.0349E+02  1.3250E+01  1.3261E+01  1.2670E+01  1.1883E+01  9.7585E+00  7.4051E-03  1.8265E-02  0.0000E+00
  6.8045E+02  1.5150E+01  1.5161E+01  1.4573E+01  1.3791E+01  1.1684E+01  7.4968E-03  1.8410E-02  0.0000E+00
  7.5814E+02  1.7115E+01  1.7126E+01  1.6542E+01  1.5765E+01  1.3673E+01  7.5831E-03  1.8547E-02  0.0000E+00
  8.3568E+02  1.9118E+01  1.9129E+01  1.8548E+01  1.7776E+01  1.5698E+01  7.6643E-03  1.8674E-02  0.0000E+00
