Sensor/I:Type/C:Side/C:Sec/I:Num/I:ECha/I:Elmb/I:EAd/I:EIn/I
#Sensor	Type	Side	Sec	Num	ECha	Elmb	EAd	EIn
603	IFC	A	1	0	342	10	2	6
598	IFC	A	4	0	405	12	2	5
599	IFC	A	7	0	436	13	2	4
602	IFC	A	10	0	465	14	2	1
601	IFC	A	13	0	530	16	2	2
600	IFC	A	16	0	566	17	2	6
393	IFC	C	1	1	626	19	2	2
396	IFC	C	4	1	693	21	2	5
392	IFC	C	7	1	728	22	3	0
397	IFC	C	10	1	790	24	2	6
394	IFC	C	13	1	811	25	1	3
395	IFC	C	16	1	842	26	1	2
15	OFC	A	0	0	323	10	0	3
14	OFC	A	0	1	322	10	0	2
13	OFC	A	0	2	321	10	0	1
12	OFC	A	1	0	326	10	0	6
11	OFC	A	1	1	325	10	0	5
10	OFC	A	1	2	324	10	0	4
9	OFC	A	2	0	375	11	2	7
8	OFC	A	2	1	374	11	2	6
7	OFC	A	2	2	373	11	2	5
6	OFC	A	3	0	369	11	2	1
5	OFC	A	3	1	368	11	2	0
4	OFC	A	3	2	367	11	1	7
3	OFC	A	4	0	372	11	2	4
2	OFC	A	4	1	371	11	2	3
1	OFC	A	4	2	370	11	2	2
54	OFC	A	5	0	387	12	0	3
53	OFC	A	5	1	385	12	0	1
52	OFC	A	5	2	386	12	0	2
51	OFC	A	6	0	390	12	0	6
50	OFC	A	6	1	389	12	0	5
49	OFC	A	6	2	388	12	0	4
48	OFC	A	7	0	431	13	1	7
47	OFC	A	7	1	430	13	1	6
46	OFC	A	7	2	429	13	1	5
45	OFC	A	8	0	432	13	2	0
44	OFC	A	8	1	434	13	2	2
43	OFC	A	8	2	433	13	2	1
42	OFC	A	9	0	450	14	0	2
41	OFC	A	9	1	451	14	0	3
40	OFC	A	9	2	449	14	0	1
39	OFC	A	10	0	454	14	0	6
38	OFC	A	10	1	453	14	0	5
37	OFC	A	10	2	452	14	0	4
36	OFC	A	11	0	503	15	2	7
35	OFC	A	11	1	496	15	2	0
34	OFC	A	11	2	497	15	2	1
33	OFC	A	12	0	500	15	2	4
32	OFC	A	12	1	499	15	2	3
31	OFC	A	12	2	498	15	2	2
30	OFC	A	13	0	515	16	0	3
29	OFC	A	13	1	514	16	0	2
28	OFC	A	13	2	513	16	0	1
27	OFC	A	14	0	551	17	0	7
26	OFC	A	14	1	552	17	1	0
25	OFC	A	14	2	550	17	0	6
24	OFC	A	15	0	546	17	0	2
23	OFC	A	15	1	545	17	0	1
22	OFC	A	15	2	547	17	0	3
21	OFC	A	16	0	580	18	0	4
20	OFC	A	16	1	581	18	0	5
19	OFC	A	16	2	582	18	0	6
18	OFC	A	17	0	579	18	0	3
17	OFC	A	17	1	578	18	0	2
16	OFC	A	17	2	577	18	0	1
67	OFC	C	0	3	617	19	1	1
68	OFC	C	0	4	618	19	1	2
69	OFC	C	0	5	616	19	1	0
64	OFC	C	1	3	610	19	0	2
65	OFC	C	1	4	611	19	0	3
66	OFC	C	1	5	609	19	0	1
61	OFC	C	2	3	648	20	1	0
62	OFC	C	2	4	662	20	2	6
63	OFC	C	2	5	663	20	2	7
58	OFC	C	3	3	656	20	2	0
59	OFC	C	3	4	658	20	2	2
60	OFC	C	3	5	657	20	2	1
55	OFC	C	4	3	686	21	1	6
56	OFC	C	4	4	687	21	1	7
57	OFC	C	4	5	688	21	2	0
106	OFC	C	5	3	674	21	0	2
107	OFC	C	5	4	675	21	0	3
108	OFC	C	5	5	673	21	0	1
103	OFC	C	6	3	719	22	1	7
104	OFC	C	6	4	720	22	2	0
105	OFC	C	6	5	721	22	2	1
100	OFC	C	7	3	722	22	2	2
101	OFC	C	7	4	723	22	2	3
102	OFC	C	7	5	724	22	2	4
97	OFC	C	8	3	717	22	1	5
98	OFC	C	8	4	718	22	1	6
99	OFC	C	8	5	716	22	1	4
94	OFC	C	9	3	740	23	0	4
95	OFC	C	9	4	742	23	0	6
96	OFC	C	9	5	741	23	0	5
91	OFC	C	10	3	738	23	0	2
92	OFC	C	10	4	739	23	0	3
93	OFC	C	10	5	737	23	0	1
88	OFC	C	11	3	770	24	0	2
89	OFC	C	11	4	769	24	0	1
