#DE, BusPatch, DDL,  1st manu in buspatch (st12), # manu in patch module (st2)  
# Chamber 1
100 13-24;1-12 0 1,27,53,79,105,131,157,183,201,214,224,232,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1249,1257
101 113-124;101-112 1 1,27,53,79,105,131,157,183,201,214,224,232,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1249,1257
102 137-148;125-136 1 1,27,53,79,105,131,157,183,201,214,224,232,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1249,1257
103 37-48;25-36 0 1,27,53,79,105,131,157,183,201,214,224,232,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1249,1257
# Chamber 2
200 213-224;201-212 2 1,27,53,79,105,131,157,183,201,214,224,232,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1249,1257
201 313-324;301-312 3 1,27,53,79,105,131,157,183,201,214,224,232,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1249,1257
202 337-348;325-336 3 1,27,53,79,105,131,157,183,201,214,224,232,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1249,1257
203 237-248;225-236 2 1,27,53,79,105,131,157,183,201,214,224,232,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1249,1257
# Chamber 3
300 413-424;401-412 4 1,27,53,79,105,131,157,183,201,214,226,246,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1251,1269 8,8,8,7,6,6,6,5,3,3,9,9,8,8,8,7,6,6,6,5,3,3,7,11
301 513-524;501-512 5 1,27,53,79,105,131,157,183,201,214,226,246,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1251,1269 8,8,8,7,6,6,6,5,3,3,9,9,8,8,8,7,6,6,6,5,3,3,7,11
302 537-548;525-536 5 1,27,53,79,105,131,157,183,201,214,226,246,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1251,1269 8,8,8,7,6,6,6,5,3,3,9,9,8,8,8,7,6,6,6,5,3,3,7,11
303 437-448;425-436 4 1,27,53,79,105,131,157,183,201,214,226,246,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1251,1269 8,8,8,7,6,6,6,5,3,3,9,9,8,8,8,7,6,6,6,5,3,3,7,11
# Chamber 4
400 613-624;601-612 6 1,27,53,79,105,131,157,183,201,214,226,246,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1251,1269 8,8,8,7,6,6,6,5,3,3,9,9,8,8,8,7,6,6,6,5,3,3,7,11
401 713-724;701-712 7 1,27,53,79,105,131,157,183,201,214,226,246,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1251,1269 8,8,8,7,6,6,6,5,3,3,9,9,8,8,8,7,6,6,6,5,3,3,7,11
402 737-748;725-736 7 1,27,53,79,105,131,157,183,201,214,226,246,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1251,1269 8,8,8,7,6,6,6,5,3,3,9,9,8,8,8,7,6,6,6,5,3,3,7,11
403 637-648;625-636 6 1,27,53,79,105,131,157,183,201,214,226,246,1025,1051,1077,1103,1129,1155,1181,1207,1225,1238,1251,1269 8,8,8,7,6,6,6,5,3,3,9,9,8,8,8,7,6,6,6,5,3,3,7,11
# Chamber 5
500 1101-1104 11
501 909-913 9
502 905-908 9
503 903-904 9
504 901-902 9
505 801-802 8
506 803-804 8
507 805-808 8
508 809-813 8
509 814-817 8
510 1001-1005 10
511 1006-1009 10
512 1010-1011 10
513 1012-1013 10
514 1116-1117 11
515 1114-1115 11
516 1110-1113 11
517 1105-1109 11
# Chamber 6
600 927-930 9
601 922-926 9
602 918-921 9
603 916-917 9
604 914-915 9
605 818-819 8
606 820-821 8
607 822-825 8
608 826-830 8
609 1014-1017 10
610 1018-1022 10
611 1023-1026 10
612 1027-1028 10
613 1029-1030 10
614 1129-1130 11
615 1127-1128 11
616 1123-1126 11
617 1118-1122 11
# Chamber 7
700 1322-1325 13
701 1317-1321 13
702 1313-1316 13
703 1309-1312 13
704 1305-1308 13
705 1303-1304 13
706 1301-1302 13
707 1201-1202 12
708 1203-1204 12
709 1205-1208 12
710 1209-1212 12
711 1213-1216 12
712 1217-1221 12
713 1222-1225 12
714 1226-1230 12
715 1231-1234 12
716 1235-1238 12
717 1239-1242 12
718 1243-1244 12
719 1245-1246 12
720 1345-1346 13
721 1343-1344 13
722 1339-1342 13
723 1335-1338 13
724 1331-1334 13
725 1326-1330 13
# Chamber 8
800 1522-1525 15
801 1517-1521 15
802 1513-1516 15
803 1509-1512 15
804 1505-1508 15
805 1503-1504 15
806 1501-1502 15
807 1401-1402 14
808 1403-1404 14
809 1405-1408 14
810 1409-1412 14
811 1413-1416 14
812 1417-1421 14
813 1422-1425 14
814 1426-1430 14
815 1431-1434 14
816 1435-1438 14
817 1439-1442 14
818 1443-1444 14
819 1445-1446 14
820 1545-1546 15
821 1543-1544 15
822 1539-1542 15
823 1535-1538 15
824 1531-1534 15
825 1526-1530 15
# Chamber 9
900 1724-1727 17
901 1719-1723 17
902 1715-1718 17
903 1711-1714 17
904 1707-1710 17
905 1703-1706 17
906 1701-1702 17
907 1601-1602 16
908 1603-1606 16
909 1607-1610 16
910 1611-1614 16
911 1615-1618 16
912 1619-1623 16
913 1624-1627 16
914 1628-1632 16
915 1633-1636 16
916 1637-1640 16
917 1641-1644 16
918 1645-1648 16
919 1649-1650 16
920 1749-1750 17
921 1745-1748 17
922 1741-1744 17
923 1737-1740 17
924 1733-1736 17
925 1728-1732 17
# Chamber 10
1000 1924-1927 19
1001 1919-1923 19
1002 1915-1918 19
1003 1911-1914 19
1004 1907-1910 19
1005 1903-1906 19
1006 1901-1902 19
1007 1801-1802 18
1008 1803-1806 18
1009 1807-1810 18
1010 1811-1814 18
1011 1815-1818 18
1012 1819-1823 18
1013 1824-1827 18
1014 1828-1832 18
1015 1833-1836 18
1016 1837-1840 18
1017 1841-1844 18
1018 1845-1848 18
1019 1849-1850 18
1020 1949-1950 19
1021 1945-1948 19
1022 1941-1944 19
1023 1937-1940 19
1024 1933-1936 19
1025 1928-1932 19
