#Motif  B1003			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1	GND	GND
41	1	GND	GND
2	2	3	E31
42	3	2	E29
3	4	1	E27
43	5	 D	E25
4	6	 A	E2
44	7	7	E23
5	8	6	E4
45	9	5	E21
6	10	 E	E6
46	11	11	E19
7	12	 B	E8
47	13	8	E17
8	14	4	E10
48	15	10	E15
9	16	12	E12
49	17	15	E13
10	18	9	E14
50	19	16	E11
11	20	 F	E16
51	21	14	E9
12	22	20	E18
52	23	 C	E7
13	24	19	E20
53	25	13	E5
14	26	18	E22
54	27	23	E3
15	28	24	E24
55	29	 G	E1
16	30	17	E26
56	31	22	E63
17	32	 H	E28
57	33	27	E61
21	34	28	E30
61	35	21	E59
22	36	 I	E32
62	37	26	E57
23	38	31	E34
63	39	25	E55
24	40	32	E36
64	41	30	E53
25	42	29	E38
65	43	36	E40
26	44	35	E42
66	45	34	E44
27	46	40	E51
67	47	33	E46
28	48	39	E49
68	49	44	E48
29	50	38	E47
69	51	37	E50
30	52	48	E45
70	53	43	E52
31	54	42	E43
71	55	52	E54
32	56	47	E41
72	57	46	E56
33	58	56	E39
73	59	51	E58
34	60	50	E37
74	61	60	E60
35	62	59	E35
75	63	55	E62
36	64	64	E33
76	65	63	E64
37	66	GND	GND
77	66	GND	GND
18	-		GND
19	-		GND
20	-		GND
38	-		GND
39	-		GND
40	-		GND
58	-		GND
59	-		GND
60	-		GND
78	-		GND
79	-		GND
80	-		GND
