#Motif  B3040			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1	GND	GND
41	1	GND	GND
2	2	6	E31
42	3	1	E29
3	4	10	E27
43	5	2	E25
4	6	5	E2
44	7	7	E23
5	8	3	E4
45	9	14	E21
6	10	11	E6
46	11	9	E19
7	12	13	E8
47	13	18	E17
8	14	17	E10
48	15	22	E15
9	16	19	E12
49	17	15	E13
10	18	21	E14
50	19	23	E11
11	20	25	E16
51	21	29	E9
12	22	27	E18
52	23	26	E7
13	24	30	E20
53	25	35	E5
14	26	31	E22
54	27	33	E3
15	28	34	E24
55	29	39	E1
16	30	37	E26
56	31	43	E63
17	32	41	E28
57	33	38	E61
21	34	47	E30
61	35	45	E59
22	36	49	E32
62	37	51	E57
23	38	42	E34
63	39	53	E55
24	40	55	E36
64	41	46	E53
25	42	57	E38
65	43	59	E40
26	44	63	E42
66	45	61	E44
27	46	50	E51
67	47	 D	E46
28	48	 A	E49
68	49	 C	E48
29	50	 F	E47
69	51	54	E50
30	52	 I	E45
70	53	 J	E52
31	54	 G	E43
71	55	58	E54
32	56	 L	E41
72	57	 M	E56
33	58	 P	E39
73	59	GND	E58
34	60	62	E37
74	61	 B	E60
35	62	 K	E35
75	63	 E	E62
36	64	 H	E33
76	65	 N	E64
37	66	GND	GND
77	66	GND	GND
18	-		GND
19	-		GND
20	-		GND
38	-		GND
39	-		GND
40	-		GND
58	-		GND
59	-		GND
60	-		GND
78	-		GND
79	-		GND
80	-		GND
