#          Motif  N4001			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	10	E31
3	3	14	E29
4	4	15	E27
5	5	20	E25
42	6	19	E2
6	7	5	E23
43	8	9	E4
7	9	1	E21
44	10	2	E6
8	11	24	E19
45	12	8	E8
9	13	25	E17
46	14	4	E10
10	15	18	E15
47	16	3	E12
11	17	6	E13
48	18	13	E14
12	19	31	E11
49	20	30	E16
13	21	29	E9
50	22	21	E18
14	23	26	E7
51	24	23	E20
15	25	11	E5
52	26	16	E22
16	27	36	E3
53	28	7	E24
17	29	37	E1
54	30	35	E26
21	31	27	E63
55	32	12	E28
22	33	32	E61
56	34	38	E30
23	35	42	E59
57	36	41	E32
24	37	33	E57
61	38	17	E34
25	39	22	E55
62	40	39	E36
26	41	43	E53
63	42	46	E38
64	43	28	E40
65	44	47	E42
66	45	40	E44
27	46	48	E51
67	47	34	E46
28	48	45	E49
68	49	44	E48
29	50	52	E47
69	51	51	E50
30	52	49	E45
70	53	50	E52
31	54	55	E43
71	55	53	E54
32	56	57	E41
72	57	56	E56
33	58	54	E39
73	59	58	E58
34	60	60	E37
74	61	59	E60
35	62	64	E35
75	63	61	E62
36	64	63	E33
76	65	62	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
