#          Motif  N4003			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	14	E31
3	3	15	E29
4	4	3	E27
5	5	4	E25
42	6	5	E2
6	7	2	E23
43	8	20	E4
7	9	16	E21
44	10	10	E6
8	11	1	E19
45	12	21	E8
9	13	22	E17
46	14	17	E10
10	15	26	E15
47	16	27	E12
11	17	11	E13
48	18	6	E14
12	19	18	E11
49	20	31	E16
13	21	7	E9
50	22	32	E18
14	23	28	E7
51	24	23	E20
15	25	19	E5
52	26	36	E22
16	27	12	E3
53	28	40	E24
17	29	37	E1
54	30	24	E26
21	31	8	E63
55	32	29	E28
22	33	33	E61
56	34	44	E30
23	35	38	E59
57	36	41	E32
24	37	45	E57
61	38	13	E34
25	39	47	E55
62	40	9	E36
26	41	34	E53
63	42	48	E38
64	43	49	E40
65	44	30	E42
66	45	42	E44
27	46	39	E51
67	47	52	E46
28	48	51	E49
68	49	53	E48
29	50	25	E47
69	51	46	E50
30	52	35	E45
70	53	55	E52
31	54	54	E43
71	55	50	E54
32	56	43	E41
72	57	57	E56
33	58	56	E39
73	59	58	E58
34	60	59	E37
74	61	60	E60
35	62	61	E35
75	63	63	E62
36	64	62	E33
76	65	64	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
