#          Motif  N4005			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	3	E31
3	3	4	E29
4	4	5	E27
5	5	10	E25
42	6	9	E2
6	7	8	E23
43	8	15	E4
7	9	14	E21
44	10	13	E6
8	11	2	E19
45	12	7	E8
9	13	20	E17
46	14	19	E10
10	15	1	E15
47	16	18	E12
11	17	12	E13
48	18	6	E14
12	19	25	E11
49	20	24	E16
13	21	17	E9
50	22	23	E18
14	23	11	E7
51	24	16	E20
15	25	28	E5
52	26	22	E22
16	27	21	E3
53	28	29	E24
17	29	27	E1
54	30	26	E26
21	31	30	E63
55	32	33	E28
22	33	32	E61
56	34	34	E30
23	35	35	E59
57	36	31	E32
24	37	38	E57
61	38	39	E34
25	39	37	E55
62	40	43	E36
26	41	42	E53
63	42	36	E38
64	43	47	E40
65	44	41	E42
66	45	40	E44
27	46	46	E51
67	47	51	E46
28	48	45	E49
68	49	55	E48
29	50	50	E47
69	51	44	E50
30	52	59	E45
70	53	54	E52
31	54	49	E43
71	55	58	E54
32	56	48	E41
72	57	53	E56
33	58	63	E39
73	59	52	E58
34	60	56	E37
74	61	64	E60
35	62	57	E35
75	63	60	E62
36	64	62	E33
76	65	61	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
