#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	61	E31
3	3	54	E29
4	4	46      E27
5	5	57      E25
42	6	50 	E2
6	7	59      E23
43	8	58	E4
7	9	64  	E21
44	10	62	E6
8	11	60 	E19
45	12	63	E8
9	13	49	E17
46	14	55	E10
10	15	47	E15
47	16	42 	E12
11	17	43	E13
48	18	53	E14
12	19	34	E11
49	20	51	E16
13	21	39	E9
50	22	56      E18
14	23	41	E7
51	24	38	E20
15	25	35	E5
52	26	45	E22
16	27	33	E3
53	28	52	E24
17	29	30	E1
54	30	48	E26
21	31	31	E63
55	32	44	E28
22	33	25	E61
56	34	37	E30
23	35	32	E59
57	36	40	E32
24	37	27	E57
61	38	26	E34
25	39	23	E55
62	40	29	E36
26	41	17	E53
63	42	36	E38
64	43	21	E40
65	44	28	E42
66	45	22	E44
27	46	18	E51
67	47	24	E46
28	48	19	E49
68	49	13	E48
29	50	15	E47
69	51	20	E50
30	52	9 	E45
70	53	16	E52
31	54	14	E43
71	55	12	E54
32	56	11	E41
72	57	8 	E56
33	58	4 	E39
73	59	5 	E58
34	60	1 	E37
74	61	10	E60
35	62	7 	E35
75	63	3 	E62
36	64	6 	E33
76	65	2 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
