#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	61	E31
3	3	58	E29
4	4	50      E27
5	5	57      E25
42	6	54 	E2
6	7	64      E23
43	8	63	E4
7	9	60  	E21
44	10	62	E6
8	11	56 	E19
45	12	59	E8
9	13	49	E17
46	14	55	E10
10	15	47	E15
47	16	46 	E12
11	17	43	E13
48	18	53	E14
12	19	38	E11
49	20	51	E16
13	21	44	E9
50	22	52      E18
14	23	41	E7
51	24	42	E20
15	25	36	E5
52	26	45	E22
16	27	33	E3
53	28	48	E24
17	29	34	E1
54	30	39	E26
21	31	31	E63
55	32	40	E28
22	33	25	E61
56	34	37	E30
23	35	28	E59
57	36	35	E32
24	37	27	E57
61	38	30	E34
25	39	20	E55
62	40	29	E36
26	41	17	E53
63	42	32	E38
64	43	21	E40
65	44	24	E42
66	45	26	E44
27	46	22	E51
67	47	23	E46
28	48	16	E49
68	49	13	E48
29	50	8 	E47
69	51	12	E50
30	52	9 	E45
70	53	19	E52
31	54	18	E43
71	55	15	E54
32	56	4 	E41
72	57	11	E56
33	58	7 	E39
73	59	5 	E58
34	60	1 	E37
74	61	14	E60
35	62	3 	E35
75	63	10	E62
36	64	6 	E33
76	65	2 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
