#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	  	E31
3	3	48	E29
4	4	45      E27
5	5	        E25
42	6	43 	E2
6	7	37      E23
43	8	40	E4
7	9	34  	E21
44	10	46	E6
8	11	39 	E19
45	12	47	E8
9	13	  	E17
46	14	44	E10
10	15	38	E15
47	16	42 	E12
11	17	35	E13
48	18	  	E14
12	19	28	E11
49	20	41	E16
13	21	32	E9
50	22	31      E18
14	23	  	E7
51	24	36	E20
15	25	25	E5
52	26	  	E22
16	27	  	E3
53	28	33	E24
17	29	26	E1
54	30	30	E26
21	31	22	E63
55	32	29	E28
22	33	  	E61
56	34	  	E30
23	35	21	E59
57	36	27	E32
24	37	20	E57
61	38	24	E34
25	39	17	E55
62	40	  	E36
26	41	  	E53
63	42	23	E38
64	43	  	E40
65	44	19      E42
66	45	18	E44
27	46	16	E51
67	47	15	E46
28	48	14	E49
68	49	  	E48
29	50	13	E47
69	51	12	E50
30	52	  	E45
70	53	11	E52
31	54	8 	E43
71	55	9 	E54
32	56	6 	E41
72	57	10	E56
33	58	5 	E39
73	59	  	E58
34	60	2 	E37
74	61	3 	E60
35	62	7 	E35
75	63	4 	E62
36	64	1 	E33
76	65	  	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
