#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	  	E31
3	3	  	E29
4	4	         E27
5	5	         E25
42	6	   	E2
6	7	        E23
43	8	  	E4
7	9	48  	E21
44	10	 	E6
8	11	47 	E19
45	12	  	E8
9	13	46	E17
46	14	  	E10
10	15	41	E15
47	16	   	E12
11	17	40	E13
48	18	  	E14
12	19	39	E11
49	20	45	E16
13	21	38	E9
50	22	44      E18
14	23	33	E7
51	24	43	E20
15	25	32	E5
52	26	42	E22
16	27	30	E3
53	28	37	E24
17	29	31	E1
54	30	36	E26
21	31	26	E63
55	32	35	E28
22	33	21	E61
56	34	34	E30
23	35	24	E59
57	36	29	E32
24	37	23	E57
61	38	28	E34
25	39	18	E55
62	40	25	E36
26	41	13	E53
63	42	27	E38
64	43	22	E40
65	44	17	E42
66	45	20	E44
27	46	16	E51
67	47	19	E46
28	48	15	E49
68	49	14	E48
29	50	10	E47
69	51	9 	E50
30	52	5 	E45
70	53	12	E52
31	54	8 	E43
71	55	11	E54
32	56	1 	E41
72	57	6 	E56
33	58	4 	E39
73	59	2 	E58
34	60	  	E37
74	61	7 	E60
35	62	3 	E35
75	63	  	E62
36	64	  	E33
76	65	  	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
