#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	63	E31
3	3	62	E29
4	4	56       E27
5	5	59       E25
42	6	64 	E2
6	7	55      E23
43	8	60	E4
7	9	54  	E21
44	10	61	E6
8	11	50 	E19
45	12	58	E8
9	13	49	E17
46	14	57	E10
10	15	47	E15
47	16	52 	E12
11	17	44	E13
48	18	53	E14
12	19	41	E11
49	20	51	E16
13	21	40	E9
50	22	48      E18
14	23	37	E7
51	24	46	E20
15	25	39	E5
52	26	45	E22
16	27	28	E3
53	28	43	E24
17	29	35	E1
54	30	42	E26
21	31	32	E63
55	32	38	E28
22	33	22	E61
56	34	34	E30
23	35	29	E59
57	36	31	E32
24	37	30	E57
61	38	36	E34
25	39	26	E55
62	40	25	E36
26	41	13	E53
63	42	33	E38
64	43	19	E40
65	44	16	E42
66	45	27	E44
27	46	24	E51
67	47	23	E46
28	48	20	E49
68	49	10	E48
29	50	17	E47
69	51	8 	E50
30	52	6 	E45
70	53	21	E52
31	54	14	E43
71	55	18	E54
32	56	15	E41
72	57	4 	E56
33	58	12	E39
73	59	3 	E58
34	60	2 	E37
74	61	11	E60
35	62	9 	E35
75	63	7 	E62
36	64	5 	E33
76	65	1 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
