#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	  	E31
3	3	  	E29
4	4	         E27
5	5	35       E25
42	6	   	E2
6	7	36      E23
43	8	  	E4
7	9	    	E21
44	10	  	E6
8	11	   	E19
45	12	  	E8
9	13	30	E17
46	14	  	E10
10	15	31	E15
47	16	   	E12
11	17	  	E13
48	18	37	E14
12	19	  	E11
49	20	29	E16
13	21	26	E9
50	22	        E18
14	23	20	E7
51	24	  	E20
15	25	  	E5
52	26	24	E22
16	27	16	E3
53	28	25	E24
17	29	  	E1
54	30	  	E26
21	31	18	E63
55	32	  	E28
22	33	12	E61
56	34	21	E30
23	35	40	E59
57	36	22	E32
24	37	33	E57
61	38	  	E34
25	39	9 	E55
62	40	17	E36
26	41	10	E53
63	42	39	E38
64	43	13	E40
65	44	14	E42
66	45	34	E44
27	46	38	E51
67	47	28	E46
28	48	32	E49
68	49	7 	E48
29	50	5 	E47
69	51	8 	E50
30	52	6 	E45
70	53	27	E52
31	54	23	E43
71	55	  	E54
32	56	2 	E41
72	57	3 	E56
33	58	  	E39
73	59	4 	E58
34	60	1 	E37
74	61	19	E60
35	62	11	E35
75	63	  	E62
36	64	15	E33
76	65	  	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
