#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	52	E31
3	3	56	E29
4	4	39       E27
5	5	55       E25
42	6	57 	E2
6	7	53      E23
43	8	44	E4
7	9	    	E21
44	10	48	E6
8	11	34 	E19
45	12	54	E8
9	13	45	E17
46	14	58	E10
10	15	40	E15
47	16	47 	E12
11	17	51	E13
48	18	49	E14
12	19	33	E11
49	20	43	E16
13	21	50	E9
50	22	38      E18
14	23	46	E7
51	24	29	E20
15	25	24	E5
52	26	35	E22
16	27	26	E3
53	28	30	E24
17	29	21	E1
54	30	28	E26
21	31	  	E63
55	32	25	E28
22	33	36	E61
56	34	41	E30
23	35	17	E59
57	36	20	E32
24	37	31	E57
61	38	  	E34
25	39	  	E55
62	40	22	E36
26	41	42	E53
63	42	  	E38
64	43	18	E40
65	44	14	E42
66	45	13	E44
27	46	12	E51
67	47	16	E46
28	48	27	E49
68	49	23	E48
29	50	11	E47
69	51	37	E50
30	52	7 	E45
70	53	10	E52
31	54	6 	E43
71	55	9 	E54
32	56	15	E41
72	57	32	E56
33	58	8 	E39
73	59	19	E58
34	60	3 	E37
74	61	5 	E60
35	62	2 	E35
75	63	1 	E62
36	64	  	E33
76	65	4 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
