#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	59	E31
3	3	50	E29
4	4	42      E27
5	5	51      E25
42	6	46	E2
6	7	55	E23
43	8	54	E4
7	9	43	E21
44	10	 	E6
8	11	57	E19
45	12	58	E8
9	13	39	E17
46	14	  	E10
10	15	  	E15
47	16	  	E12
11	17	45	E13
48	18	47	E14
12	19	41	E11
49	20	38	E16
13	21	56	E9
50	22	53	E18
14	23	52	E7
51	24	34	E20
15	25	31	E5
52	26	60	E22
16	27	44	E3
53	28	35	E24
17	29	26	E1
54	30	30	E26
21	31	36	E63
55	32	49	E28
22	33	23	E61
56	34	48	E30
23	35	29	E59
57	36	33	E32
24	37	18	E57
61	38	37	E34
25	39	21	E55
62	40	27	E36
26	41	19	E53
63	42	22	E38
64	43	32	E40
65	44	40	E42
66	45	25	E44
27	46	14	E51
67	47	28	E46
28	48	17	E49
68	49	24	E48
29	50	10	E47
69	51	15	E50
30	52	11	E45
70	53	13	E52
31	54	9 	E43
71	55	20	E54
32	56	5 	E41
72	57	16	E56
33	58	12	E39
73	59	7 	E58
34	60	8 	E37
74	61	6 	E60
35	62	2 	E35
75	63	1 	E62
36	64	3 	E33
76	65	4 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
