#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	58	E31
3	3	51	E29
4	4	43      E27
5	5	50      E25
42	6	47	E2
6	7	54	E23
43	8	55	E4
7	9	42	E21
44	10	62	E6
8	11	60	E19
45	12	59	E8
9	13	38	E17
46	14	63	E10
10	15	61	E15
47	16	64	E12
11	17	48	E13
48	18	46	E14
12	19	44	E11
49	20	39	E16
13	21	53	E9
50	22	56	E18
14	23	49	E7
51	24	35	E20
15	25	30	E5
52	26	57	E22
16	27	41	E3
53	28	34	E24
17	29	27	E1
54	30	31	E26
21	31	33	E63
55	32	52	E28
22	33	22	E61
56	34	45	E30
23	35	32	E59
57	36	36	E32
24	37	19	E57
61	38	40	E34
25	39	24	E55
62	40	26	E36
26	41	18	E53
63	42	23	E38
64	43	29	E40
65	44	37	E42
66	45	28	E44
27	46	15	E51
67	47	25	E46
28	48	20	E49
68	49	21	E48
29	50	11	E47
69	51	14	E50
30	52	10	E45
70	53	16	E52
31	54	12	E43
71	55	17	E54
32	56	8 	E41
72	57	13	E56
33	58	9 	E39
73	59	6 	E58
34	60	5 	E37
74	61	7 	E60
35	62	3 	E35
75	63	4 	E62
36	64	2 	E33
76	65	1 	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
