#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	3	E31
3	3	7	E29
4	4	5       E27
5	5	8       E25
42	6	2 	E2
6	7	12      E23
43	8	6	E4
7	9	16	E21
44	10	4	E6
8	11	1 	E19
45	12	11	E8
9	13	20	E17
46	14	10	E10
10	15	19	E15
47	16	9 	E12
11	17	23	E13
48	18	15	E14
12	19	21	E11
49	20	14	E16
13	21	28	E9
50	22	13      E18
14	23	27	E7
51	24	18	E20
15	25	26	E5
52	26	24	E22
16	27	31	E3
53	28	17	E24
17	29	29	E1
54	30	22	E26
21	31	33	E63
55	32	25	E28
22	33	35	E61
56	34	32	E30
23	35	37	E59
57	36	36	E32
24	37	34	E57
61	38	30	E34
25	39	43	E55
62	40	40	E36
26	41	52	E53
63	42	44	E38
64	43	39	E40
65	44	48	E42
66	45	41	E44
27	46	38	E51
67	47	45	E46
28	48	49	E49
68	49	47	E48
29	50	42	E47
69	51	56	E50
30	52	51	E45
70	53	53	E52
31	54	57	E43
71	55	60	E54
32	56	61	E41
72	57	64	E56
33	58	58	E39
73	59	55	E58
34	60	63	E37
74	61	46	E60
35	62	54	E35
75	63	62	E62
36	64	50	E33
76	65	59	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
