#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	6	E31
3	3	7	E29
4	4	3       E27
5	5	10      E25
42	6	5 	E2
6	7	12	E23
43	8	4	E4
7	9	13	E21
44	10	8	E6
8	11	1 	E19
45	12	9	E8
9	13	16	E17
46	14	11	E10
10	15	22	E15
47	16	2 	E12
11	17	23	E13
48	18	14	E14
12	19	19	E11
49	20	15	E16
13	21	26	E9
50	22	21	E18
14	23	28	E7
51	24	20	E20
15	25	29	E5
52	26	24	E22
16	27	32	E3
53	28	25	E24
17	29	17	E1
54	30	27	E26
21	31	47	E63
55	32	18	E28
22	33	46	E61
56	34	30	E30
23	35	34	E59
57	36	31	E32
24	37	43	E57
61	38	33	E34
25	39	41	E55
62	40	48	E36
26	41	40	E53
63	42	45	E38
64	43	44	E40
65	44	42	E42
66	45	35	E44
27	46	36	E51
67	47	39	E46
28	48	37	E49
68	49	38	E48
29	50	63	E47
69	51	64	E50
30	52	62	E45
70	53	49	E52
31	54	50	E43
71	55	61	E54
32	56	59	E41
72	57	60	E56
33	58	57	E39
73	59	58	E58
34	60	56	E37
74	61	51	E60
35	62	52	E35
75	63	55	E62
36	64	53	E33
76	65	54	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
