#          Motif  N4010			
#			
#			
#Connecteur Berg 	N° pavés  Kaptons	Pads	Voies Gassiplex
1	1		GND
41	1		GND
2	2	13	E31
3	3	9	E29
4	4	7       E27
5	5	14      E25
42	6	10	E2
6	7	 	E23
43	8	12	E4
7	9	3 	E21
44	10	11	E6
8	11	1 	E19
45	12	8	E8
9	13	  	E17
46	14	6	E10
10	15	27	E15
47	16	4 	E12
11	17	25	E13
48	18	5	E14
12	19	23	E11
49	20	2 	E16
13	21	30	E9
50	22	26	E18
14	23	22	E7
51	24	28	E20
15	25	19	E5
52	26	29      E22
16	27	  	E3
53	28	24	E24
17	29	17	E1
54	30	21	E26
21	31	34	E63
55	32	20	E28
22	33	  	E61
56	34	  	E30
23	35	36	E59
57	36	18	E32
24	37	37	E57
61	38	33	E34
25	39	40	E55
62	40	  	E36
26	41	45	E53
63	42	35	E38
64	43	38	E40
65	44	46	E42
66	45	39	E44
27	46	44	E51
67	47	41	E46
28	48	42	E49
68	49	43	E48
29	50	50	E47
69	51	  	E50
30	52	53	E45
70	53	49	E52
31	54	52	E43
71	55	51	E54
32	56	54	E41
72	57	  	E56
33	58	56	E39
73	59	62	E58
34	60	59	E37
74	61	55	E60
35	62	60	E35
75	63	57	E62
36	64	58	E33
76	65	61	E64
37	66		GND
77	66		GND
18			GND
19			GND
20			GND
38			GND
39			GND
40			GND
58			GND
59			GND
60			GND
78			GND
79			GND
80			GND
